EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LOHR/MAIN-HALSBACH, GERMANY (STAID: 4868)
Blended and updated with sources:31508 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4868, 31508,20051101,   77,    0
  4868, 31508,20051102,   90,    0
  4868, 31508,20051103,  123,    0
  4868, 31508,20051104,  107,    0
  4868, 31508,20051105,   89,    0
  4868, 31508,20051106,   58,    0
  4868, 31508,20051107,   48,    0
  4868, 31508,20051108,   66,    0
  4868, 31508,20051109,   42,    0
  4868, 31508,20051110,   41,    0
  4868, 31508,20051111,   68,    0
  4868, 31508,20051112,   55,    0
  4868, 31508,20051113,   43,    0
  4868, 31508,20051114,   39,    0
  4868, 31508,20051115,   31,    0
  4868, 31508,20051116,   41,    0
  4868, 31508,20051117,   24,    0
  4868, 31508,20051118,   12,    0
  4868, 31508,20051119,  -16,    0
  4868, 31508,20051120,   13,    0
  4868, 31508,20051121,   23,    0
  4868, 31508,20051122,    9,    0
  4868, 31508,20051123,   19,    0
  4868, 31508,20051124,  -11,    0
  4868, 31508,20051125,  -11,    0
  4868, 31508,20051126,  -19,    0
  4868, 31508,20051127,  -14,    0
  4868, 31508,20051128,    5,    0
  4868, 31508,20051129,    3,    0
  4868, 31508,20051130,   -7,    0
  4868, 31508,20051201,   -9,    0
  4868, 31508,20051202,  -28,    0
  4868, 31508,20051203,   -6,    0
  4868, 31508,20051204,   36,    0
  4868, 31508,20051205,   51,    0
  4868, 31508,20051206,   19,    0
  4868, 31508,20051207,   24,    0
  4868, 31508,20051208,   27,    0
  4868, 31508,20051209,   14,    0
  4868, 31508,20051210,  -16,    0
  4868, 31508,20051211,  -31,    0
  4868, 31508,20051212,   12,    0
  4868, 31508,20051213,   12,    0
  4868, 31508,20051214,   25,    0
  4868, 31508,20051215,   38,    0
  4868, 31508,20051216,   43,    0
  4868, 31508,20051217,   -3,    0
  4868, 31508,20051218,  -14,    0
  4868, 31508,20051219,   -1,    0
  4868, 31508,20051220,   14,    0
  4868, 31508,20051221,   14,    0
  4868, 31508,20051222,   13,    0
  4868, 31508,20051223,   30,    0
  4868, 31508,20051224,   42,    0
  4868, 31508,20051225,   26,    0
  4868, 31508,20051226,   -2,    0
  4868, 31508,20051227,  -17,    0
  4868, 31508,20051228,  -32,    0
  4868, 31508,20051229,  -39,    0
  4868, 31508,20051230,  -51,    0
  4868, 31508,20051231,  -15,    0
  4868, 31508,20060101,   19,    0
  4868, 31508,20060102,   20,    0
  4868, 31508,20060103,   12,    0
