EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VAXJO-KRONOBERG, SWEDEN (STAID: 5249)
Blended and updated with sources:35381 35384 35405 902648 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5249, 35381,18600101,   21,    1
  5249, 35381,18600102,   46,    1
  5249, 35381,18600103,   31,    1
  5249, 35381,18600104,   37,    1
  5249, 35381,18600105,   31,    1
  5249, 35381,18600106,   16,    1
  5249, 35381,18600107,    5,    1
  5249, 35381,18600108,  -27,    1
  5249, 35381,18600109,   -4,    1
  5249, 35381,18600110,  -17,    1
  5249, 35381,18600111,   -5,    1
  5249, 35381,18600112,  -18,    1
  5249, 35381,18600113,  -27,    1
  5249, 35381,18600114,  -26,    1
  5249, 35381,18600115,  -37,    1
  5249, 35381,18600116,   -9,    1
  5249, 35381,18600117,    7,    1
  5249, 35381,18600118,   -6,    1
  5249, 35381,18600119,  -16,    1
  5249, 35381,18600120,  -19,    1
  5249, 35381,18600121,  -11,    1
  5249, 35381,18600122,   -1,    1
  5249, 35381,18600123,    2,    1
  5249, 35381,18600124,    7,    1
  5249, 35381,18600125,   10,    1
  5249, 35381,18600126,    5,    1
  5249, 35381,18600127,  -21,    1
  5249, 35381,18600128,  -10,    1
  5249, 35381,18600129,  -25,    1
  5249, 35381,18600130,    5,    1
  5249, 35381,18600131,  -63,    1
  5249, 35381,18600201,  -53,    1
  5249, 35381,18600202,  -18,    1
  5249, 35381,18600203,  -55,    1
  5249, 35381,18600204,   -5,    1
  5249, 35381,18600205,   12,    1
  5249, 35381,18600206,  -18,    1
  5249, 35381,18600207,  -95,    1
  5249, 35381,18600208,  -31,    1
  5249, 35381,18600209, -112,    1
  5249, 35381,18600210,  -82,    1
  5249, 35381,18600211,  -66,    1
  5249, 35381,18600212, -171,    1
  5249, 35381,18600213, -161,    1
  5249, 35381,18600214,  -99,    1
  5249, 35381,18600215,-9999,    9
  5249, 35381,18600216,  -53,    1
  5249, 35381,18600217,  -62,    1
  5249, 35381,18600218,  -26,    1
  5249, 35381,18600219,   -3,    1
  5249, 35381,18600220,   -2,    1
  5249, 35381,18600221,  -82,    1
  5249, 35381,18600222, -135,    1
  5249, 35381,18600223, -105,    1
  5249, 35381,18600224,  -42,    1
  5249, 35381,18600225,  -48,    1
  5249, 35381,18600226,  -28,    1
  5249, 35381,18600227,   -7,    1
  5249, 35381,18600228,    8,    1
  5249, 35381,18600229,  -18,    1
  5249, 35381,18600301,  -43,    1
  5249, 35381,18600302,  -48,    1
  5249, 35381,18600303,  -20,    1
  5249, 35381,18600304,   -7,    1
  5249, 35381,18600305,   -2,    1
  5249, 35381,18600306,  -42,    1
  5249, 35381,18600307,  -63,    1
  5249, 35381,18600308,  -79,    1
  5249, 35381,18600309,  -87,    1
  5249, 35381,18600310,  -81,    1
  5249, 35381,18600311,-9999,    9
  5249, 35381,18600312,  -80,    1
  5249, 35381,18600313,  -93,    1
  5249, 35381,18600314,  -22,    1
  5249, 35381,18600315,    1,    1
  5249, 35381,18600316,  -25,    1
  5249, 35381,18600317,  -16,    1
  5249, 35381,18600318,   21,    1
  5249, 35381,18600319,   14,    1
  5249, 35381,18600320,   29,    1
  5249, 35381,18600321,   24,    1
  5249, 35381,18600322,   11,    1
  5249, 35381,18600323,   19,    1
  5249, 35381,18600324,   14,    1
  5249, 35381,18600325,   14,    1
  5249, 35381,18600326,   12,    1
  5249, 35381,18600327,   15,    1
  5249, 35381,18600328,    5,    1
  5249, 35381,18600329,   -7,    1
  5249, 35381,18600330,    6,    1
  5249, 35381,18600331,    9,    1
  5249, 35381,18600401,   33,    1
  5249, 35381,18600402,   52,    1
  5249, 35381,18600403,   34,    1
  5249, 35381,18600404,   -6,    1
  5249, 35381,18600405,    7,    1
  5249, 35381,18600406,   34,    1
  5249, 35381,18600407,   46,    1
  5249, 35381,18600408,   71,    1
  5249, 35381,18600409,   46,    1
  5249, 35381,18600410,   36,    1
  5249, 35381,18600411,   35,    1
  5249, 35381,18600412,   25,    1
  5249, 35381,18600413,   14,    1
  5249, 35381,18600414,   34,    1
  5249, 35381,18600415,   36,    1
  5249, 35381,18600416,   57,    1
  5249, 35381,18600417,   63,    1
  5249, 35381,18600418,   72,    1
  5249, 35381,18600419,   -1,    1
  5249, 35381,18600420,    5,    1
  5249, 35381,18600421,   20,    1
  5249, 35381,18600422,   25,    1
  5249, 35381,18600423,   46,    1
  5249, 35381,18600424,   41,    1
  5249, 35381,18600425,   39,    1
  5249, 35381,18600426,   48,    1
  5249, 35381,18600427,   47,    1
  5249, 35381,18600428,   66,    1
  5249, 35381,18600429,   83,    1
  5249, 35381,18600430,   81,    1
  5249, 35381,18600501,  100,    1
  5249, 35381,18600502,   98,    1
  5249, 35381,18600503,   54,    1
  5249, 35381,18600504,   57,    1
  5249, 35381,18600505,   34,    1
  5249, 35381,18600506,   36,    1
  5249, 35381,18600507,   51,    1
  5249, 35381,18600508,   72,    1
  5249, 35381,18600509,   89,    1
  5249, 35381,18600510,   86,    1
  5249, 35381,18600511,  102,    1
  5249, 35381,18600512,  121,    1
  5249, 35381,18600513,  108,    1
  5249, 35381,18600514,   54,    1
  5249, 35381,18600515,   42,    1
  5249, 35381,18600516,   79,    1
  5249, 35381,18600517,   69,    1
