EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MASSOTERES, SPAIN (STAID: 11386)
Blended and updated with sources:75685 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11386, 75685,20170501,-9999,    9
 11386, 75685,20170502,-9999,    9
 11386, 75685,20170503,-9999,    9
 11386, 75685,20170504,-9999,    9
 11386, 75685,20170505,-9999,    9
 11386, 75685,20170506,-9999,    9
 11386, 75685,20170507,-9999,    9
 11386, 75685,20170508,-9999,    9
 11386, 75685,20170509,-9999,    9
 11386, 75685,20170510,-9999,    9
 11386, 75685,20170511,-9999,    9
 11386, 75685,20170512,-9999,    9
 11386, 75685,20170513,-9999,    9
 11386, 75685,20170514,-9999,    9
 11386, 75685,20170515,-9999,    9
 11386, 75685,20170516,-9999,    9
 11386, 75685,20170517,-9999,    9
 11386, 75685,20170518,  148,    0
 11386, 75685,20170519,  116,    0
 11386, 75685,20170520,  137,    0
 11386, 75685,20170521,  178,    0
 11386, 75685,20170522,  198,    0
 11386, 75685,20170523,  203,    0
 11386, 75685,20170524,  212,    0
 11386, 75685,20170525,  227,    0
 11386, 75685,20170526,  232,    0
 11386, 75685,20170527,  207,    0
 11386, 75685,20170528,  215,    0
 11386, 75685,20170529,  194,    0
 11386, 75685,20170530,  172,    0
 11386, 75685,20170531,  192,    0
 11386, 75685,20170601,  208,    0
 11386, 75685,20170602,  216,    0
 11386, 75685,20170603,  182,    0
 11386, 75685,20170604,  140,    0
 11386, 75685,20170605,  152,    0
 11386, 75685,20170606,  184,    0
 11386, 75685,20170607,  168,    0
 11386, 75685,20170608,  212,    0
 11386, 75685,20170609,  227,    0
 11386, 75685,20170610,  247,    0
 11386, 75685,20170611,  264,    0
 11386, 75685,20170612,  257,    0
 11386, 75685,20170613,  265,    0
 11386, 75685,20170614,  271,    0
 11386, 75685,20170615,  289,    0
 11386, 75685,20170616,  265,    0
 11386, 75685,20170617,  266,    0
 11386, 75685,20170618,  263,    0
 11386, 75685,20170619,  252,    0
 11386, 75685,20170620,  244,    0
 11386, 75685,20170621,  242,    0
 11386, 75685,20170622,  268,    0
 11386, 75685,20170623,  281,    0
 11386, 75685,20170624,  263,    0
 11386, 75685,20170625,  237,    0
 11386, 75685,20170626,  230,    0
 11386, 75685,20170627,  235,    0
 11386, 75685,20170628,  198,    0
 11386, 75685,20170629,  168,    0
 11386, 75685,20170630,  166,    0
 11386, 75685,20170701,  169,    0
 11386, 75685,20170702,  183,    0
 11386, 75685,20170703,  219,    0
 11386, 75685,20170704,  246,    0
 11386, 75685,20170705,  237,    0
 11386, 75685,20170706,  261,    0
 11386, 75685,20170707,  281,    0
 11386, 75685,20170708,  250,    0
 11386, 75685,20170709,  216,    0
 11386, 75685,20170710,  246,    0
 11386, 75685,20170711,  247,    0
 11386, 75685,20170712,  270,    0
 11386, 75685,20170713,  265,    0
 11386, 75685,20170714,  240,    0
 11386, 75685,20170715,  244,    0
 11386, 75685,20170716,  259,    0
 11386, 75685,20170717,  253,    0
 11386, 75685,20170718,  252,    0
 11386, 75685,20170719,  259,    0
 11386, 75685,20170720,  242,    0
 11386, 75685,20170721,  217,    0
 11386, 75685,20170722,  246,    0
 11386, 75685,20170723,  226,    0
 11386, 75685,20170724,  221,    0
 11386, 75685,20170725,  206,    0
 11386, 75685,20170726,  203,    0
 11386, 75685,20170727,  250,    0
 11386, 75685,20170728,  260,    0
 11386, 75685,20170729,  265,    0
 11386, 75685,20170730,  281,    0
 11386, 75685,20170731,  287,    0
 11386, 75685,20170801,  242,    0
 11386, 75685,20170802,  278,    0
 11386, 75685,20170803,  295,    0
 11386, 75685,20170804,  285,    0
 11386, 75685,20170805,  293,    0
 11386, 75685,20170806,  241,    0
 11386, 75685,20170807,  244,    0
 11386, 75685,20170808,  225,    0
 11386, 75685,20170809,  161,    0
 11386, 75685,20170810,  167,    0
 11386, 75685,20170811,  175,    0
 11386, 75685,20170812,  202,    0
 11386, 75685,20170813,  226,    0
 11386, 75685,20170814,  239,    0
 11386, 75685,20170815,  238,    0
