EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAR, MONTENEGRO (STAID: 11378)
Blended and updated with sources:75535 913461 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11378, 75535,20160701,  247,    0
 11378, 75535,20160702,  252,    0
 11378, 75535,20160703,  261,    0
 11378, 75535,20160704,  269,    0
 11378, 75535,20160705,  286,    0
 11378, 75535,20160706,  263,    0
 11378, 75535,20160707,  281,    0
 11378, 75535,20160708,  266,    0
 11378, 75535,20160709,  252,    0
 11378,913461,20160710,  271,    0
 11378, 75535,20160711,  271,    0
 11378, 75535,20160712,  268,    0
 11378, 75535,20160713,  271,    0
 11378, 75535,20160714,  278,    0
 11378, 75535,20160715,  257,    0
 11378, 75535,20160716,  206,    0
 11378, 75535,20160717,  222,    0
 11378, 75535,20160718,  253,    0
 11378, 75535,20160719,  276,    0
 11378, 75535,20160720,  272,    0
 11378,913461,20160721,  268,    0
 11378, 75535,20160722,  252,    0
 11378, 75535,20160723,  258,    0
 11378, 75535,20160724,  265,    0
 11378, 75535,20160725,  283,    0
 11378, 75535,20160726,  266,    0
 11378, 75535,20160727,  258,    0
 11378, 75535,20160728,  266,    0
 11378, 75535,20160729,  263,    0
 11378, 75535,20160730,  267,    0
 11378, 75535,20160731,  275,    0
 11378, 75535,20160801,  271,    0
 11378, 75535,20160802,  269,    0
 11378, 75535,20160803,  279,    0
 11378, 75535,20160804,  277,    0
 11378, 75535,20160805,  262,    0
 11378, 75535,20160806,  264,    0
 11378, 75535,20160807,  266,    0
 11378, 75535,20160808,  267,    0
 11378, 75535,20160809,  267,    0
 11378, 75535,20160810,  252,    0
 11378, 75535,20160811,  254,    0
 11378, 75535,20160812,  255,    0
 11378, 75535,20160813,  244,    0
 11378, 75535,20160814,  239,    0
 11378, 75535,20160815,  233,    0
 11378, 75535,20160816,  231,    0
 11378, 75535,20160817,  225,    0
 11378, 75535,20160818,  247,    0
 11378, 75535,20160819,  242,    0
 11378, 75535,20160820,  248,    0
 11378, 75535,20160821,  252,    0
 11378, 75535,20160822,  253,    0
 11378, 75535,20160823,  268,    0
 11378, 75535,20160824,  294,    0
 11378, 75535,20160825,  293,    0
 11378, 75535,20160826,  281,    0
 11378, 75535,20160827,  257,    0
 11378, 75535,20160828,  239,    0
 11378, 75535,20160829,  240,    0
 11378, 75535,20160830,  248,    0
 11378, 75535,20160831,  259,    0
 11378, 75535,20160901,  240,    0
 11378, 75535,20160902,  253,    0
 11378, 75535,20160903,  267,    0
 11378, 75535,20160904,  261,    0
 11378, 75535,20160905,  232,    0
