EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WALDMUNCHEN, GERMANY (STAID: 4917)
Blended and updated with sources:32096 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4917, 32096,20061211,   11,    0
  4917, 32096,20061212,   21,    0
  4917, 32096,20061213,   34,    0
  4917, 32096,20061214,   24,    0
  4917, 32096,20061215,   -2,    0
  4917, 32096,20061216,   18,    0
  4917, 32096,20061217,   30,    0
  4917, 32096,20061218,   10,    0
  4917, 32096,20061219,    2,    0
  4917, 32096,20061220,    4,    0
  4917, 32096,20061221,   11,    0
  4917, 32096,20061222,    9,    0
  4917, 32096,20061223,    5,    0
  4917, 32096,20061224,    4,    0
  4917, 32096,20061225,   -4,    0
  4917, 32096,20061226,  -14,    0
  4917, 32096,20061227,  -35,    0
  4917, 32096,20061228,  -28,    0
  4917, 32096,20061229,   -4,    0
  4917, 32096,20061230,  -18,    0
  4917, 32096,20061231,   49,    0
  4917, 32096,20070101,   66,    0
  4917, 32096,20070102,   12,    0
  4917, 32096,20070103,   25,    0
  4917, 32096,20070104,   35,    0
  4917, 32096,20070105,   46,    0
  4917, 32096,20070106,   58,    0
  4917, 32096,20070107,   52,    0
  4917, 32096,20070108,   43,    0
  4917, 32096,20070109,   86,    0
  4917, 32096,20070110,   91,    0
  4917, 32096,20070111,   65,    0
  4917, 32096,20070112,   58,    0
  4917, 32096,20070113,   79,    0
  4917, 32096,20070114,   55,    0
  4917, 32096,20070115,   -9,    0
  4917, 32096,20070116,  -11,    0
  4917, 32096,20070117,   42,    0
  4917, 32096,20070118,  102,    0
  4917, 32096,20070119,   75,    0
  4917, 32096,20070120,   94,    0
  4917, 32096,20070121,   45,    0
  4917, 32096,20070122,   19,    0
  4917, 32096,20070123,  -37,    0
  4917, 32096,20070124,  -49,    0
  4917, 32096,20070125,  -62,    0
  4917, 32096,20070126,  -89,    0
  4917, 32096,20070127,  -28,    0
  4917, 32096,20070128,    6,    0
  4917, 32096,20070129,   20,    0
  4917, 32096,20070130,   16,    0
  4917, 32096,20070131,   16,    0
  4917, 32096,20070201,   22,    0
  4917, 32096,20070202,   28,    0
  4917, 32096,20070203,   28,    0
  4917, 32096,20070204,   16,    0
  4917, 32096,20070205,    3,    0
  4917, 32096,20070206,    4,    0
  4917, 32096,20070207,    6,    0
  4917, 32096,20070208,   30,    0
  4917, 32096,20070209,   33,    0
  4917, 32096,20070210,   22,    0
  4917, 32096,20070211,   43,    0
  4917, 32096,20070212,   52,    0
  4917, 32096,20070213,   48,    0
  4917, 32096,20070214,   45,    0
  4917, 32096,20070215,   42,    0
  4917, 32096,20070216,   24,    0
  4917, 32096,20070217,   37,    0
  4917, 32096,20070218,   13,    0
  4917, 32096,20070219,   -1,    0
  4917, 32096,20070220,   38,    0
  4917, 32096,20070221,   29,    0
  4917, 32096,20070222,   38,    0
  4917, 32096,20070223,   37,    0
  4917, 32096,20070224,   31,    0
  4917, 32096,20070225,   54,    0
  4917, 32096,20070226,   42,    0
  4917, 32096,20070227,   25,    0
  4917, 32096,20070228,   63,    0
  4917, 32096,20070301,   63,    0
  4917, 32096,20070302,   38,    0
  4917, 32096,20070303,   42,    0
  4917, 32096,20070304,   34,    0
  4917, 32096,20070305,   40,    0
  4917, 32096,20070306,   47,    0
  4917, 32096,20070307,   62,    0
  4917, 32096,20070308,   64,    0
  4917, 32096,20070309,   34,    0
  4917, 32096,20070310,   34,    0
  4917, 32096,20070311,   21,    0
  4917, 32096,20070312,   78,    0
