EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VALLISAARI, FINLAND (STAID: 7024)
Blended and updated with sources:84 42184 42244 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7024,    84,19510101,  -63,    0
  7024,    84,19510102,  -52,    0
  7024,    84,19510103,  -33,    0
  7024,    84,19510104,   -6,    0
  7024,    84,19510105,   -9,    0
  7024,    84,19510106,  -19,    0
  7024,    84,19510107,  -67,    0
  7024,    84,19510108,  -98,    0
  7024,    84,19510109, -113,    0
  7024,    84,19510110, -100,    0
  7024,    84,19510111,  -66,    0
  7024,    84,19510112,  -56,    0
  7024,    84,19510113,  -28,    0
  7024,    84,19510114,    2,    0
  7024,    84,19510115,   12,    0
  7024,    84,19510116,    0,    0
  7024,    84,19510117,  -27,    0
  7024,    84,19510118,  -19,    0
  7024,    84,19510119,   -7,    0
  7024,    84,19510120,  -24,    0
  7024,    84,19510121,  -87,    0
  7024,    84,19510122, -143,    0
  7024,    84,19510123, -169,    0
  7024,    84,19510124, -143,    0
  7024,    84,19510125,  -66,    0
  7024,    84,19510126,  -62,    0
  7024,    84,19510127,  -94,    0
  7024,    84,19510128,  -79,    0
  7024,    84,19510129,  -49,    0
  7024,    84,19510130,  -37,    0
  7024,    84,19510131,  -42,    0
  7024,    84,19510201,  -53,    0
  7024,    84,19510202,  -46,    0
  7024,    84,19510203,  -67,    0
  7024,    84,19510204,  -88,    0
  7024,    84,19510205,  -84,    0
  7024,    84,19510206,  -69,    0
  7024,    84,19510207,  -27,    0
  7024,    84,19510208,    6,    0
  7024,    84,19510209,    7,    0
  7024,    84,19510210,   -6,    0
  7024,    84,19510211,  -24,    0
  7024,    84,19510212,  -14,    0
  7024,    84,19510213,  -56,    0
  7024,    84,19510214, -140,    0
  7024,    84,19510215, -162,    0
  7024,    84,19510216, -146,    0
  7024,    84,19510217, -110,    0
  7024,    84,19510218,  -74,    0
  7024,    84,19510219,  -43,    0
  7024,    84,19510220,   -6,    0
  7024,    84,19510221,  -20,    0
  7024,    84,19510222,  -63,    0
  7024,    84,19510223,  -69,    0
  7024,    84,19510224,  -56,    0
  7024,    84,19510225,  -35,    0
  7024,    84,19510226,  -17,    0
  7024,    84,19510227,  -56,    0
  7024,    84,19510228,  -62,    0
  7024,    84,19510301,  -40,    0
  7024,    84,19510302,  -69,    0
  7024,    84,19510303,  -63,    0
  7024,    84,19510304,  -63,    0
  7024,    84,19510305,  -62,    0
  7024,    84,19510306,  -76,    0
  7024,    84,19510307,  -28,    0
  7024,    84,19510308,  -27,    0
  7024,    84,19510309,  -44,    0
  7024,    84,19510310,  -68,    0
  7024,    84,19510311, -109,    0
  7024,    84,19510312, -103,    0
  7024,    84,19510313,  -64,    0
  7024,    84,19510314,  -46,    0
  7024,    84,19510315,  -65,    0
  7024,    84,19510316,  -90,    0
  7024,    84,19510317, -108,    0
  7024,    84,19510318, -118,    0
  7024,    84,19510319,  -82,    0
  7024,    84,19510320,  -64,    0
  7024,    84,19510321,  -55,    0
  7024,    84,19510322,  -79,    0
  7024,    84,19510323,  -33,    0
  7024,    84,19510324,  -14,    0
  7024,    84,19510325,  -38,    0
  7024,    84,19510326,  -27,    0
  7024,    84,19510327,  -23,    0
  7024,    84,19510328,    9,    0
  7024,    84,19510329,    0,    0
  7024,    84,19510330,    2,    0
  7024,    84,19510331,  -15,    0
  7024,    84,19510401,  -13,    0
  7024,    84,19510402,   16,    0
  7024,    84,19510403,   14,    0
  7024,    84,19510404,    7,    0
  7024,    84,19510405,   13,    0
  7024,    84,19510406,   11,    0
  7024,    84,19510407,   14,    0
  7024,    84,19510408,   35,    0
  7024,    84,19510409,   37,    0
  7024,    84,19510410,   32,    0
  7024,    84,19510411,   16,    0
  7024,    84,19510412,   15,    0
  7024,    84,19510413,   24,    0
  7024,    84,19510414,   49,    0
  7024,    84,19510415,   21,    0
  7024,    84,19510416,   19,    0
  7024,    84,19510417,   20,    0
  7024,    84,19510418,   27,    0
  7024,    84,19510419,   17,    0
  7024,    84,19510420,   19,    0
  7024,    84,19510421,   13,    0
  7024,    84,19510422,   43,    0
  7024,    84,19510423,   40,    0
  7024,    84,19510424,   34,    0
  7024,    84,19510425,   45,    0
  7024,    84,19510426,   77,    0
  7024,    84,19510427,   94,    0
  7024,    84,19510428,  129,    0
  7024,    84,19510429,  123,    0
  7024,    84,19510430,  131,    0
  7024,    84,19510501,  108,    0
  7024,    84,19510502,   73,    0
  7024,    84,19510503,   79,    0
  7024,    84,19510504,   85,    0
  7024,    84,19510505,   55,    0
  7024,    84,19510506,   60,    0
  7024,    84,19510507,   50,    0
  7024,    84,19510508,   52,    0
  7024,    84,19510509,   61,    0
  7024,    84,19510510,   61,    0
  7024,    84,19510511,   75,    0
  7024,    84,19510512,   72,    0
  7024,    84,19510513,   70,    0
  7024,    84,19510514,   60,    0
  7024,    84,19510515,   61,    0
  7024,    84,19510516,   74,    0
  7024,    84,19510517,   93,    0
  7024,    84,19510518,  117,    0
  7024,    84,19510519,  119,    0
  7024,    84,19510520,  113,    0
  7024,    84,19510521,   85,    0
  7024,    84,19510522,   56,    0
  7024,    84,19510523,   53,    0
  7024,    84,19510524,   56,    0
  7024,    84,19510525,   66,    0
  7024,    84,19510526,   76,    0
  7024,    84,19510527,   89,    0
  7024,    84,19510528,   85,    0
  7024,    84,19510529,   71,    0
  7024,    84,19510530,   63,    0
  7024,    84,19510531,  111,    0
  7024,    84,19510601,  107,    0
  7024,    84,19510602,  118,    0
  7024,    84,19510603,  130,    0
  7024,    84,19510604,  131,    0
  7024,    84,19510605,  139,    0
  7024,    84,19510606,  136,    0
  7024,    84,19510607,   99,    0
  7024,    84,19510608,  119,    0
  7024,    84,19510609,  128,    0
  7024,    84,19510610,  134,    0
  7024,    84,19510611,  143,    0
  7024,    84,19510612,  126,    0
  7024,    84,19510613,  117,    0
  7024,    84,19510614,  128,    0
  7024,    84,19510615,  126,    0
  7024,    84,19510616,  144,    0
  7024,    84,19510617,  149,    0
  7024,    84,19510618,  136,    0
  7024,    84,19510619,  135,    0
  7024,    84,19510620,  137,    0
  7024,    84,19510621,  154,    0
  7024,    84,19510622,  146,    0
  7024,    84,19510623,  159,    0
  7024,    84,19510624,  157,    0
  7024,    84,19510625,  176,    0
  7024,    84,19510626,  175,    0
  7024,    84,19510627,  168,    0
  7024,    84,19510628,  146,    1
  7024,    84,19510629,  139,    0
  7024,    84,19510630,  137,    0
  7024,    84,19510701,  158,    0
  7024,    84,19510702,  152,    0
  7024,    84,19510703,  154,    0
  7024,    84,19510704,  154,    0
  7024,    84,19510705,  119,    0
  7024,    84,19510706,  121,    0
  7024,    84,19510707,  128,    0
  7024,    84,19510708,  133,    0
  7024,    84,19510709,  135,    0
  7024,    84,19510710,  141,    0
  7024,    84,19510711,  140,    0
  7024,    84,19510712,  189,    0
  7024,    84,19510713,  198,    0
  7024,    84,19510714,  180,    0
  7024,    84,19510715,  182,    0
  7024,    84,19510716,  178,    0
  7024,    84,19510717,  174,    0
  7024,    84,19510718,  151,    0
  7024,    84,19510719,  130,    0
  7024,    84,19510720,  128,    0
  7024,    84,19510721,  128,    0
  7024,    84,19510722,  121,    0
  7024,    84,19510723,  127,    0
  7024,    84,19510724,  152,    0
  7024,    84,19510725,  167,    0
  7024,    84,19510726,  182,    0
  7024,    84,19510727,  186,    0
  7024,    84,19510728,  178,    0
  7024,    84,19510729,  161,    0
  7024,    84,19510730,  157,    0
  7024,    84,19510731,  166,    0
  7024,    84,19510801,  158,    0
  7024,    84,19510802,  171,    0
  7024,    84,19510803,  196,    0
  7024,    84,19510804,  198,    0
  7024,    84,19510805,  198,    0
  7024,    84,19510806,  192,    0
  7024,    84,19510807,  182,    0
  7024,    84,19510808,  205,    0
  7024,    84,19510809,  211,    0
  7024,    84,19510810,  187,    0
  7024,    84,19510811,  173,    0
  7024,    84,19510812,  159,    0
  7024,    84,19510813,  188,    0
  7024,    84,19510814,  174,    0
  7024,    84,19510815,  181,    0
  7024,    84,19510816,  158,    0
  7024,    84,19510817,  150,    0
  7024,    84,19510818,  162,    0
  7024,    84,19510819,  155,    0
  7024,    84,19510820,  172,    0
  7024,    84,19510821,  191,    0
  7024,    84,19510822,  193,    0
  7024,    84,19510823,  189,    0
  7024,    84,19510824,  188,    0
  7024,    84,19510825,  193,    0
  7024,    84,19510826,  196,    0
  7024,    84,19510827,  193,    0
  7024,    84,19510828,  189,    0
  7024,    84,19510829,  189,    0
  7024,    84,19510830,  179,    0
  7024,    84,19510831,  199,    0
  7024,    84,19510901,  207,    0
  7024,    84,19510902,  179,    0
  7024,    84,19510903,  171,    0
  7024,    84,19510904,  169,    0
  7024,    84,19510905,  169,    0
  7024,    84,19510906,  189,    0
  7024,    84,19510907,  157,    0
  7024,    84,19510908,  132,    0
  7024,    84,19510909,  119,    0
  7024,    84,19510910,  115,    0
  7024,    84,19510911,  129,    0
  7024,    84,19510912,  152,    0
  7024,    84,19510913,  149,    0
  7024,    84,19510914,  165,    0
  7024,    84,19510915,  159,    0
  7024,    84,19510916,  155,    0
  7024,    84,19510917,  139,    0
  7024,    84,19510918,  131,    0
  7024,    84,19510919,  114,    0
  7024,    84,19510920,   66,    0
  7024,    84,19510921,   61,    0
  7024,    84,19510922,   68,    0
  7024,    84,19510923,   78,    0
  7024,    84,19510924,  100,    0
  7024,    84,19510925,  114,    0
  7024,    84,19510926,  112,    0
  7024,    84,19510927,  121,    0
  7024,    84,19510928,  119,    0
  7024,    84,19510929,  114,    0
  7024,    84,19510930,   90,    0
  7024,    84,19511001,  100,    0
  7024,    84,19511002,   96,    0
  7024,    84,19511003,   90,    0
  7024,    84,19511004,   79,    0
  7024,    84,19511005,   59,    0
  7024,    84,19511006,   80,    0
  7024,    84,19511007,   98,    0
  7024,    84,19511008,   96,    0
  7024,    84,19511009,   84,    0
  7024,    84,19511010,   76,    0
  7024,    84,19511011,   82,    0
  7024,    84,19511012,   75,    0
  7024,    84,19511013,   90,    0
  7024,    84,19511014,  104,    0
  7024,    84,19511015,  103,    0
  7024,    84,19511016,  106,    0
  7024,    84,19511017,  100,    0
  7024,    84,19511018,   81,    0
  7024,    84,19511019,   63,    0
  7024,    84,19511020,   57,    0
  7024,    84,19511021,   69,    0
  7024,    84,19511022,   88,    0
  7024,    84,19511023,   72,    0
