EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SUNNDALSORA III, NORWAY (STAID: 2711)
Blended and updated with sources:10961 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2711, 10961,19570101,-9999,    9
  2711, 10961,19570102,-9999,    9
  2711, 10961,19570103,-9999,    9
  2711, 10961,19570104,-9999,    9
  2711, 10961,19570105,-9999,    9
  2711, 10961,19570106,-9999,    9
  2711, 10961,19570107,-9999,    9
  2711, 10961,19570108,-9999,    9
  2711, 10961,19570109,-9999,    9
  2711, 10961,19570110,-9999,    9
  2711, 10961,19570111,-9999,    9
  2711, 10961,19570112,-9999,    9
  2711, 10961,19570113,-9999,    9
  2711, 10961,19570114,-9999,    9
  2711, 10961,19570115,-9999,    9
  2711, 10961,19570116,-9999,    9
  2711, 10961,19570117,-9999,    9
  2711, 10961,19570118,-9999,    9
  2711, 10961,19570119,-9999,    9
  2711, 10961,19570120,-9999,    9
  2711, 10961,19570121,-9999,    9
  2711, 10961,19570122,-9999,    9
  2711, 10961,19570123,-9999,    9
  2711, 10961,19570124,-9999,    9
  2711, 10961,19570125,-9999,    9
  2711, 10961,19570126,-9999,    9
  2711, 10961,19570127,-9999,    9
  2711, 10961,19570128,-9999,    9
  2711, 10961,19570129,-9999,    9
  2711, 10961,19570130,-9999,    9
  2711, 10961,19570131,-9999,    9
  2711, 10961,19570201,-9999,    9
  2711, 10961,19570202,-9999,    9
  2711, 10961,19570203,-9999,    9
  2711, 10961,19570204,-9999,    9
  2711, 10961,19570205,-9999,    9
  2711, 10961,19570206,-9999,    9
  2711, 10961,19570207,-9999,    9
  2711, 10961,19570208,-9999,    9
  2711, 10961,19570209,-9999,    9
  2711, 10961,19570210,-9999,    9
  2711, 10961,19570211,-9999,    9
  2711, 10961,19570212,-9999,    9
  2711, 10961,19570213,-9999,    9
  2711, 10961,19570214,-9999,    9
  2711, 10961,19570215,-9999,    9
  2711, 10961,19570216,-9999,    9
  2711, 10961,19570217,-9999,    9
  2711, 10961,19570218,-9999,    9
  2711, 10961,19570219,-9999,    9
  2711, 10961,19570220,-9999,    9
  2711, 10961,19570221,-9999,    9
  2711, 10961,19570222,-9999,    9
  2711, 10961,19570223,-9999,    9
  2711, 10961,19570224,-9999,    9
  2711, 10961,19570225,-9999,    9
  2711, 10961,19570226,-9999,    9
  2711, 10961,19570227,-9999,    9
  2711, 10961,19570228,-9999,    9
  2711, 10961,19570301,-9999,    9
  2711, 10961,19570302,-9999,    9
  2711, 10961,19570303,-9999,    9
  2711, 10961,19570304,-9999,    9
  2711, 10961,19570305,-9999,    9
  2711, 10961,19570306,-9999,    9
  2711, 10961,19570307,-9999,    9
  2711, 10961,19570308,-9999,    9
  2711, 10961,19570309,-9999,    9
  2711, 10961,19570310,-9999,    9
  2711, 10961,19570311,-9999,    9
  2711, 10961,19570312,-9999,    9
  2711, 10961,19570313,-9999,    9
  2711, 10961,19570314,-9999,    9
  2711, 10961,19570315,-9999,    9
  2711, 10961,19570316,-9999,    9
  2711, 10961,19570317,-9999,    9
  2711, 10961,19570318,-9999,    9
  2711, 10961,19570319,-9999,    9
  2711, 10961,19570320,-9999,    9
  2711, 10961,19570321,-9999,    9
  2711, 10961,19570322,-9999,    9
  2711, 10961,19570323,-9999,    9
  2711, 10961,19570324,-9999,    9
  2711, 10961,19570325,-9999,    9
  2711, 10961,19570326,-9999,    9
  2711, 10961,19570327,-9999,    9
  2711, 10961,19570328,-9999,    9
  2711, 10961,19570329,-9999,    9
  2711, 10961,19570330,-9999,    9
  2711, 10961,19570331,-9999,    9
  2711, 10961,19570401,-9999,    9
  2711, 10961,19570402,-9999,    9
  2711, 10961,19570403,-9999,    9
  2711, 10961,19570404,-9999,    9
  2711, 10961,19570405,-9999,    9
  2711, 10961,19570406,-9999,    9
  2711, 10961,19570407,-9999,    9
  2711, 10961,19570408,-9999,    9
  2711, 10961,19570409,-9999,    9
  2711, 10961,19570410,-9999,    9
  2711, 10961,19570411,-9999,    9
  2711, 10961,19570412,-9999,    9
  2711, 10961,19570413,-9999,    9
  2711, 10961,19570414,-9999,    9
  2711, 10961,19570415,-9999,    9
  2711, 10961,19570416,-9999,    9
  2711, 10961,19570417,-9999,    9
  2711, 10961,19570418,-9999,    9
  2711, 10961,19570419,-9999,    9
  2711, 10961,19570420,-9999,    9
  2711, 10961,19570421,-9999,    9
  2711, 10961,19570422,-9999,    9
  2711, 10961,19570423,-9999,    9
  2711, 10961,19570424,-9999,    9
  2711, 10961,19570425,-9999,    9
  2711, 10961,19570426,-9999,    9
  2711, 10961,19570427,-9999,    9
  2711, 10961,19570428,-9999,    9
  2711, 10961,19570429,-9999,    9
  2711, 10961,19570430,-9999,    9
  2711, 10961,19570501,-9999,    9
  2711, 10961,19570502,-9999,    9
  2711, 10961,19570503,-9999,    9
  2711, 10961,19570504,-9999,    9
  2711, 10961,19570505,-9999,    9
  2711, 10961,19570506,-9999,    9
  2711, 10961,19570507,-9999,    9
  2711, 10961,19570508,-9999,    9
  2711, 10961,19570509,-9999,    9
  2711, 10961,19570510,-9999,    9
  2711, 10961,19570511,-9999,    9
  2711, 10961,19570512,-9999,    9
  2711, 10961,19570513,-9999,    9
  2711, 10961,19570514,-9999,    9
  2711, 10961,19570515,-9999,    9
  2711, 10961,19570516,-9999,    9
