EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AACHEN-ORSBACH, GERMANY (STAID: 3989)
Blended and updated with sources:20960 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3989, 20960,20110401,  133,    0
  3989, 20960,20110402,  168,    0
  3989, 20960,20110403,  108,    0
  3989, 20960,20110404,   92,    0
  3989, 20960,20110405,   88,    0
  3989, 20960,20110406,  151,    0
  3989, 20960,20110407,  150,    0
  3989, 20960,20110408,  114,    0
  3989, 20960,20110409,   99,    0
  3989, 20960,20110410,  120,    0
  3989, 20960,20110411,  156,    0
  3989, 20960,20110412,   74,    0
  3989, 20960,20110413,   72,    0
  3989, 20960,20110414,   85,    0
  3989, 20960,20110415,   95,    0
  3989, 20960,20110416,  104,    0
  3989, 20960,20110417,  116,    0
  3989, 20960,20110418,  127,    0
  3989, 20960,20110419,  168,    0
  3989, 20960,20110420,  167,    0
  3989, 20960,20110421,  188,    0
  3989, 20960,20110422,  173,    0
  3989, 20960,20110423,  180,    0
  3989, 20960,20110424,  177,    0
  3989, 20960,20110425,  159,    0
  3989, 20960,20110426,  150,    0
  3989, 20960,20110427,   88,    0
  3989, 20960,20110428,  118,    0
  3989, 20960,20110429,  141,    0
  3989, 20960,20110430,  140,    0
  3989, 20960,20110501,  122,    0
  3989, 20960,20110502,   95,    0
  3989, 20960,20110503,   80,    0
  3989, 20960,20110504,   82,    0
  3989, 20960,20110505,  115,    0
  3989, 20960,20110506,  162,    0
  3989, 20960,20110507,  209,    0
  3989, 20960,20110508,  219,    0
  3989, 20960,20110509,  170,    0
  3989, 20960,20110510,  169,    0
  3989, 20960,20110511,  159,    0
  3989, 20960,20110512,  128,    0
  3989, 20960,20110513,  134,    0
  3989, 20960,20110514,  115,    0
  3989, 20960,20110515,   98,    0
  3989, 20960,20110516,  115,    0
  3989, 20960,20110517,  132,    0
  3989, 20960,20110518,  151,    0
  3989, 20960,20110519,  152,    0
  3989, 20960,20110520,  160,    0
  3989, 20960,20110521,  160,    0
  3989, 20960,20110522,  160,    0
  3989, 20960,20110523,  153,    0
  3989, 20960,20110524,  133,    0
  3989, 20960,20110525,  147,    0
  3989, 20960,20110526,  161,    0
  3989, 20960,20110527,  108,    0
  3989, 20960,20110528,  134,    0
  3989, 20960,20110529,  157,    0
  3989, 20960,20110530,  211,    0
  3989, 20960,20110531,  120,    0
  3989, 20960,20110601,  127,    0
  3989, 20960,20110602,  155,    0
  3989, 20960,20110603,  179,    0
  3989, 20960,20110604,  208,    0
  3989, 20960,20110605,  189,    0
  3989, 20960,20110606,  182,    0
  3989, 20960,20110607,  158,    0
  3989, 20960,20110608,  130,    0
  3989, 20960,20110609,  131,    0
  3989, 20960,20110610,  132,    0
  3989, 20960,20110611,  117,    0
  3989, 20960,20110612,  133,    0
  3989, 20960,20110613,  159,    0
  3989, 20960,20110614,  171,    0
  3989, 20960,20110615,  182,    0
  3989, 20960,20110616,  159,    0
  3989, 20960,20110617,  135,    0
  3989, 20960,20110618,  131,    0
  3989, 20960,20110619,  122,    0
  3989, 20960,20110620,  129,    0
  3989, 20960,20110621,  173,    0
  3989, 20960,20110622,  158,    0
  3989, 20960,20110623,  135,    0
  3989, 20960,20110624,  112,    0
  3989, 20960,20110625,  127,    0
  3989, 20960,20110626,  187,    0
  3989, 20960,20110627,  243,    0
  3989, 20960,20110628,  261,    0
  3989, 20960,20110629,  167,    0
  3989, 20960,20110630,  138,    0
  3989, 20960,20110701,  124,    0
  3989, 20960,20110702,  121,    0
  3989, 20960,20110703,  135,    0
  3989, 20960,20110704,  134,    0
  3989, 20960,20110705,  189,    0
  3989, 20960,20110706,  176,    0
  3989, 20960,20110707,  178,    0
  3989, 20960,20110708,  171,    0
  3989, 20960,20110709,  168,    0
  3989, 20960,20110710,  168,    0
  3989, 20960,20110711,  189,    0
  3989, 20960,20110712,  195,    0
  3989, 20960,20110713,  129,    0
  3989, 20960,20110714,  118,    0
  3989, 20960,20110715,  162,    0
  3989, 20960,20110716,  180,    0
  3989, 20960,20110717,  152,    0
  3989, 20960,20110718,  144,    0
  3989, 20960,20110719,  154,    0
  3989, 20960,20110720,  151,    0
  3989, 20960,20110721,  154,    0
  3989, 20960,20110722,  138,    0
  3989, 20960,20110723,  108,    0
  3989, 20960,20110724,  121,    0
  3989, 20960,20110725,  144,    0
  3989, 20960,20110726,  142,    0
  3989, 20960,20110727,  151,    0
  3989, 20960,20110728,  164,    0
  3989, 20960,20110729,  158,    0
  3989, 20960,20110730,  129,    0
  3989, 20960,20110731,  132,    0
  3989, 20960,20110801,  159,    0
  3989, 20960,20110802,  214,    0
  3989, 20960,20110803,  190,    0
  3989, 20960,20110804,  197,    0
  3989, 20960,20110805,  182,    0
  3989, 20960,20110806,  189,    0
  3989, 20960,20110807,  156,    0
  3989, 20960,20110808,  136,    0
  3989, 20960,20110809,  127,    0
  3989, 20960,20110810,  147,    0
  3989, 20960,20110811,  183,    0
  3989, 20960,20110812,  166,    0
  3989, 20960,20110813,  174,    0
  3989, 20960,20110814,  167,    0
  3989, 20960,20110815,  160,    0
  3989, 20960,20110816,  172,    0
  3989, 20960,20110817,  188,    0
  3989, 20960,20110818,  201,    0
  3989, 20960,20110819,  170,    0
  3989, 20960,20110820,  187,    0
  3989, 20960,20110821,  228,    0
  3989, 20960,20110822,  184,    0
