EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STADLANDET, NORWAY (STAID: 2700)
Blended and updated with sources:10862 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2700, 10862,20160901,-9999,    9
  2700, 10862,20160902,-9999,    9
  2700, 10862,20160903,-9999,    9
  2700, 10862,20160904,-9999,    9
  2700, 10862,20160905,-9999,    9
  2700, 10862,20160906,-9999,    9
  2700, 10862,20160907,-9999,    9
  2700, 10862,20160908,  166,    0
  2700, 10862,20160909,  155,    0
  2700, 10862,20160910,  144,    0
  2700, 10862,20160911,  125,    0
  2700, 10862,20160912,  174,    0
  2700, 10862,20160913,  205,    0
  2700, 10862,20160914,  136,    0
  2700, 10862,20160915,  169,    0
  2700, 10862,20160916,  184,    0
  2700, 10862,20160917,  168,    0
  2700, 10862,20160918,  167,    0
  2700, 10862,20160919,  142,    0
  2700, 10862,20160920,  126,    0
  2700, 10862,20160921,  131,    0
  2700, 10862,20160922,  151,    0
  2700, 10862,20160923,  130,    0
  2700, 10862,20160924,  148,    0
  2700, 10862,20160925,-9999,    9
  2700, 10862,20160926,  129,    0
  2700, 10862,20160927,  124,    0
  2700, 10862,20160928,  101,    0
  2700, 10862,20160929,   99,    0
  2700, 10862,20160930,   88,    0
  2700, 10862,20161001,   81,    0
  2700, 10862,20161002,   73,    0
  2700, 10862,20161003,   82,    0
  2700, 10862,20161004,   97,    0
  2700, 10862,20161005,   91,    0
  2700, 10862,20161006,   70,    0
  2700, 10862,20161007,   67,    0
  2700, 10862,20161008,   68,    0
  2700, 10862,20161009,   61,    0
  2700, 10862,20161010,   59,    0
  2700, 10862,20161011,   57,    0
  2700, 10862,20161012,   45,    0
  2700, 10862,20161013,   53,    0
  2700, 10862,20161014,   37,    0
  2700, 10862,20161015,   54,    0
  2700, 10862,20161016,   93,    0
  2700, 10862,20161017,  117,    0
  2700, 10862,20161018,  114,    0
  2700, 10862,20161019,   88,    0
  2700, 10862,20161020,   51,    0
  2700, 10862,20161021,   48,    0
  2700, 10862,20161022,   37,    0
  2700, 10862,20161023,   33,    0
  2700, 10862,20161024,   38,    0
  2700, 10862,20161025,   81,    0
  2700, 10862,20161026,   98,    0
  2700, 10862,20161027,   98,    0
  2700, 10862,20161028,   69,    0
  2700, 10862,20161029,   70,    0
  2700, 10862,20161030,   86,    0
  2700, 10862,20161031,   84,    0
  2700, 10862,20161101,   42,    0
  2700, 10862,20161102,   40,    0
  2700, 10862,20161103,   39,    0
  2700, 10862,20161104,   34,    0
  2700, 10862,20161105,   23,    0
  2700, 10862,20161106,   15,    0
  2700, 10862,20161107,  -35,    0
  2700, 10862,20161108,  -40,    0
  2700, 10862,20161109,  -32,    0
  2700, 10862,20161110,   11,    0
  2700, 10862,20161111,   53,    0
  2700, 10862,20161112,   73,    0
  2700, 10862,20161113,   77,    0
  2700, 10862,20161114,   91,    0
  2700, 10862,20161115,   92,    0
  2700, 10862,20161116,   67,    0
  2700, 10862,20161117,   37,    0
  2700, 10862,20161118,   26,    0
  2700, 10862,20161119,   45,    0
  2700, 10862,20161120,   46,    0
  2700, 10862,20161121,   29,    0
  2700, 10862,20161122,   37,    0
  2700, 10862,20161123,   35,    0
  2700, 10862,20161124,   55,    0
  2700, 10862,20161125,   95,    0
  2700, 10862,20161126,   61,    0
  2700, 10862,20161127,   33,    0
  2700, 10862,20161128,   29,    0
  2700, 10862,20161129,   47,    0
  2700, 10862,20161130,   30,    0
  2700, 10862,20161201,   42,    0
  2700, 10862,20161202,   44,    0
  2700, 10862,20161203,   61,    0
  2700, 10862,20161204,   82,    0
  2700, 10862,20161205,   55,    0
  2700, 10862,20161206,   32,    0
  2700, 10862,20161207,   91,    0
  2700, 10862,20161208,   94,    0
  2700, 10862,20161209,   79,    0
  2700, 10862,20161210,   86,    0
  2700, 10862,20161211,   44,    0
  2700, 10862,20161212,   50,    0
  2700, 10862,20161213,   40,    0
  2700, 10862,20161214,   46,    0
  2700, 10862,20161215,   95,    0
  2700, 10862,20161216,   89,    0
  2700, 10862,20161217,   68,    0
  2700, 10862,20161218,   85,    0
  2700, 10862,20161219,   97,    0
  2700, 10862,20161220,   81,    0
  2700, 10862,20161221,   58,    0
  2700, 10862,20161222,   40,    0
  2700, 10862,20161223,   54,    0
  2700, 10862,20161224,   49,    0
  2700, 10862,20161225,   69,    0
  2700, 10862,20161226,   48,    0
  2700, 10862,20161227,   40,    0
  2700, 10862,20161228,   73,    0
  2700, 10862,20161229,   85,    0
  2700, 10862,20161230,   82,    0
  2700, 10862,20161231,   54,    0
  2700, 10862,20170101,   28,    0
  2700, 10862,20170102,    3,    0
  2700, 10862,20170103,   33,    0
  2700, 10862,20170104,    7,    0
  2700, 10862,20170105,   -8,    0
  2700, 10862,20170106,   48,    0
  2700, 10862,20170107,   35,    0
  2700, 10862,20170108,   64,    0
  2700, 10862,20170109,   74,    0
  2700, 10862,20170110,   57,    0
  2700, 10862,20170111,   36,    0
  2700, 10862,20170112,   37,    0
  2700, 10862,20170113,   14,    0
  2700, 10862,20170114,   -8,    0
  2700, 10862,20170115,  -19,    0
  2700, 10862,20170116,    6,    0
  2700, 10862,20170117,   60,    0
  2700, 10862,20170118,   85,    0
  2700, 10862,20170119,   75,    0
  2700, 10862,20170120,   82,    0
  2700, 10862,20170121,   74,    0
  2700, 10862,20170122,   57,    0
  2700, 10862,20170123,   50,    0
  2700, 10862,20170124,   65,    0
  2700, 10862,20170125,   88,    0
  2700, 10862,20170126,   77,    0
  2700, 10862,20170127,   50,    0
  2700, 10862,20170128,   66,    0
  2700, 10862,20170129,   54,    0
  2700, 10862,20170130,   22,    0
  2700, 10862,20170131,   30,    0
  2700, 10862,20170201,   39,    0
  2700, 10862,20170202,   63,    0
  2700, 10862,20170203,   93,    0
  2700, 10862,20170204,   50,    0
  2700, 10862,20170205,   31,    0
  2700, 10862,20170206,   29,    0
  2700, 10862,20170207,  -11,    0
  2700, 10862,20170208,  -41,    0
  2700, 10862,20170209,  -50,    0
  2700, 10862,20170210,  -27,    0
  2700, 10862,20170211,  -45,    0
  2700, 10862,20170212,    1,    0
  2700, 10862,20170213,   26,    0
  2700, 10862,20170214,  -22,    0
  2700, 10862,20170215,   43,    0
  2700, 10862,20170216,   63,    0
  2700, 10862,20170217,   44,    0
  2700, 10862,20170218,   64,    0
  2700, 10862,20170219,   65,    0
  2700, 10862,20170220,   54,    0
  2700, 10862,20170221,   38,    0
  2700, 10862,20170222,   30,    0
  2700, 10862,20170223,   -6,    0
  2700, 10862,20170224,  -14,    0
  2700, 10862,20170225,   26,    0
  2700, 10862,20170226,   44,    0
  2700, 10862,20170227,   39,    0
  2700, 10862,20170228,   27,    0
  2700, 10862,20170301,   41,    0
  2700, 10862,20170302,   13,    0
  2700, 10862,20170303,   -4,    0
  2700, 10862,20170304,  -15,    0
  2700, 10862,20170305,   19,    0
  2700, 10862,20170306,   19,    0
  2700, 10862,20170307,   -3,    0
  2700, 10862,20170308,    7,    0
  2700, 10862,20170309,   26,    0
  2700, 10862,20170310,   24,    0
  2700, 10862,20170311,   38,    0
  2700, 10862,20170312,   71,    0
  2700, 10862,20170313,   60,    0
  2700, 10862,20170314,   64,    0
  2700, 10862,20170315,   49,    0
  2700, 10862,20170316,   58,    0
  2700, 10862,20170317,   33,    0
  2700, 10862,20170318,   14,    0
  2700, 10862,20170319,   30,    0
  2700, 10862,20170320,   53,    0
  2700, 10862,20170321,   37,    0
  2700, 10862,20170322,   14,    0
  2700, 10862,20170323,   21,    0
  2700, 10862,20170324,   51,    0
  2700, 10862,20170325,   72,    0
  2700, 10862,20170326,   80,    0
  2700, 10862,20170327,   63,    0
  2700, 10862,20170328,   33,    0
  2700, 10862,20170329,   25,    0
  2700, 10862,20170330,   32,    0
  2700, 10862,20170331,   75,    0
  2700, 10862,20170401,   81,    0
  2700, 10862,20170402,   67,    0
  2700, 10862,20170403,   93,    0
  2700, 10862,20170404,   68,    0
  2700, 10862,20170405,   50,    0
  2700, 10862,20170406,   65,    0
  2700, 10862,20170407,   63,    0
  2700, 10862,20170408,   76,    0
  2700, 10862,20170409,   69,    0
  2700, 10862,20170410,   36,    0
  2700, 10862,20170411,   30,    0
  2700, 10862,20170412,   53,    0
  2700, 10862,20170413,   34,    0
  2700, 10862,20170414,   34,    0
  2700, 10862,20170415,   26,    0
  2700, 10862,20170416,   25,    0
  2700, 10862,20170417,   19,    0
  2700, 10862,20170418,   35,    0
  2700, 10862,20170419,   53,    0
  2700, 10862,20170420,   64,    0
  2700, 10862,20170421,   37,    0
  2700, 10862,20170422,   31,    0
  2700, 10862,20170423,   13,    0
  2700, 10862,20170424,   20,    0
  2700, 10862,20170425,   34,    0
  2700, 10862,20170426,   28,    0
  2700, 10862,20170427,   38,    0
  2700, 10862,20170428,   53,    0
  2700, 10862,20170429,   67,    0
