EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MONT-ROIG DEL CAMP, SPAIN (STAID: 16319)
Blended and updated with sources:90618 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 16319, 90618,20180101,  137,    0
 16319, 90618,20180102,  161,    0
 16319, 90618,20180103,  187,    0
 16319, 90618,20180104,  190,    0
 16319, 90618,20180105,  147,    0
 16319, 90618,20180106,  126,    0
 16319, 90618,20180107,  243,    0
 16319, 90618,20180108,  279,    0
 16319, 90618,20180109,  253,    0
 16319, 90618,20180110,  200,    0
 16319, 90618,20180111,  122,    0
 16319, 90618,20180112,  120,    0
 16319, 90618,20180113,   89,    0
 16319, 90618,20180114,   93,    0
 16319, 90618,20180115,   98,    0
 16319, 90618,20180116,  145,    0
 16319, 90618,20180117,  143,    0
 16319, 90618,20180118,  110,    0
 16319, 90618,20180119,  125,    0
 16319, 90618,20180120,  143,    0
 16319, 90618,20180121,  177,    0
 16319, 90618,20180122,  172,    0
 16319, 90618,20180123,  154,    0
 16319, 90618,20180124,  113,    0
 16319, 90618,20180125,  122,    0
 16319, 90618,20180126,   88,    0
 16319, 90618,20180127,   95,    0
 16319, 90618,20180128,  122,    0
 16319, 90618,20180129,  119,    0
 16319, 90618,20180130,  103,    0
 16319, 90618,20180131,   90,    0
 16319, 90618,20180201,   95,    0
 16319, 90618,20180202,   77,    0
 16319, 90618,20180203,   86,    0
 16319, 90618,20180204,   79,    0
 16319, 90618,20180205,   75,    0
 16319, 90618,20180206,   55,    0
 16319, 90618,20180207,  262,    0
 16319, 90618,20180208,  281,    0
 16319, 90618,20180209,  254,    0
 16319, 90618,20180210,  188,    0
 16319, 90618,20180211,  140,    0
 16319, 90618,20180212,  142,    0
 16319, 90618,20180213,   75,    0
 16319, 90618,20180214,  103,    0
 16319, 90618,20180215,  144,    0
 16319, 90618,20180216,  118,    0
 16319, 90618,20180217,  128,    0
 16319, 90618,20180218,  118,    0
 16319, 90618,20180219,  119,    0
 16319, 90618,20180220,  137,    0
 16319, 90618,20180221,  101,    0
 16319, 90618,20180222,   70,    0
 16319, 90618,20180223,   67,    0
 16319, 90618,20180224,   75,    0
 16319, 90618,20180225,  106,    0
 16319, 90618,20180226,   89,    0
 16319, 90618,20180227,   25,    0
 16319, 90618,20180228,   48,    0
 16319, 90618,20180301,  107,    0
 16319, 90618,20180302,  113,    0
 16319, 90618,20180303,  123,    0
 16319, 90618,20180304,  118,    0
 16319, 90618,20180305,  115,    0
 16319, 90618,20180306,  118,    0
 16319, 90618,20180307,  254,    0
 16319, 90618,20180308,  281,    0
 16319, 90618,20180309,  259,    0
 16319, 90618,20180310,  197,    0
 16319, 90618,20180311,  134,    0
 16319, 90618,20180312,  160,    0
 16319, 90618,20180313,  130,    0
 16319, 90618,20180314,  118,    0
 16319, 90618,20180315,  137,    0
 16319, 90618,20180316,  138,    0
 16319, 90618,20180317,   99,    0
 16319, 90618,20180318,  108,    0
 16319, 90618,20180319,   96,    0
 16319, 90618,20180320,   80,    0
 16319, 90618,20180321,   91,    0
 16319, 90618,20180322,   99,    0
 16319, 90618,20180323,  138,    0
 16319, 90618,20180324,  106,    0
 16319, 90618,20180325,  111,    0
 16319, 90618,20180326,  132,    0
 16319, 90618,20180327,  160,    0
 16319, 90618,20180328,  175,    0
 16319, 90618,20180329,  140,    0
 16319, 90618,20180330,  117,    0
 16319, 90618,20180331,  127,    0
 16319, 90618,20180401,  122,    0
 16319, 90618,20180402,  121,    0
 16319, 90618,20180403,  127,    0
 16319, 90618,20180404,  167,    0
 16319, 90618,20180405,  152,    0
 16319, 90618,20180406,  130,    0
 16319, 90618,20180407,  254,    0
 16319, 90618,20180408,  311,    0
 16319, 90618,20180409,  253,    0
 16319, 90618,20180410,  198,    0
 16319, 90618,20180411,  138,    0
 16319, 90618,20180412,  160,    0
 16319, 90618,20180413,  125,    0
 16319, 90618,20180414,  133,    0
 16319, 90618,20180415,  179,    0
 16319, 90618,20180416,  141,    0
 16319, 90618,20180417,  173,    0
 16319, 90618,20180418,  173,    0
 16319, 90618,20180419,  161,    0
 16319, 90618,20180420,  161,    0
 16319, 90618,20180421,  166,    0
 16319, 90618,20180422,  167,    0
 16319, 90618,20180423,  174,    0
 16319, 90618,20180424,  184,    0
 16319, 90618,20180425,  189,    0
 16319, 90618,20180426,  187,    0
 16319, 90618,20180427,  176,    0
 16319, 90618,20180428,  164,    0
 16319, 90618,20180429,  147,    0
 16319, 90618,20180430,  143,    0
 16319, 90618,20180501,  121,    0
 16319, 90618,20180502,  163,    0
 16319, 90618,20180503,  167,    0
 16319, 90618,20180504,  147,    0
 16319, 90618,20180505,  171,    0
 16319, 90618,20180506,  166,    0
 16319, 90618,20180507,  260,    0
 16319, 90618,20180508,  309,    0
 16319, 90618,20180509,  243,    0
 16319, 90618,20180510,  198,    0
 16319, 90618,20180511,  131,    0
 16319, 90618,20180512,  142,    0
 16319, 90618,20180513,  153,    0
 16319, 90618,20180514,  163,    0
 16319, 90618,20180515,  171,    0
 16319, 90618,20180516,  174,    0
 16319, 90618,20180517,  172,    0
 16319, 90618,20180518,  181,    0
 16319, 90618,20180519,  192,    0
 16319, 90618,20180520,  198,    0
 16319, 90618,20180521,  180,    0
 16319, 90618,20180522,  190,    0
 16319, 90618,20180523,  193,    0
 16319, 90618,20180524,  198,    0
 16319, 90618,20180525,  209,    0
 16319, 90618,20180526,  197,    0
 16319, 90618,20180527,  205,    0
 16319, 90618,20180528,  192,    0
 16319, 90618,20180529,  201,    0
