EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MITT. NERLERIT INAAT, GREENLAND [DENMARK] (STAID: 8022)
Blended and updated with sources:47497 904341 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8022, 47497,20000101,-9999,    9
  8022, 47497,20000102,-9999,    9
  8022, 47497,20000103,-9999,    9
  8022, 47497,20000104,-9999,    9
  8022, 47497,20000105,-9999,    9
  8022, 47497,20000106,-9999,    9
  8022, 47497,20000107,-9999,    9
  8022, 47497,20000108,-9999,    9
  8022, 47497,20000109,-9999,    9
  8022, 47497,20000110,-9999,    9
  8022, 47497,20000111,-9999,    9
  8022, 47497,20000112,-9999,    9
  8022, 47497,20000113,-9999,    9
  8022, 47497,20000114,-9999,    9
  8022, 47497,20000115,-9999,    9
  8022, 47497,20000116,-9999,    9
  8022, 47497,20000117,-9999,    9
  8022, 47497,20000118,-9999,    9
  8022, 47497,20000119,-9999,    9
  8022, 47497,20000120,-9999,    9
  8022, 47497,20000121,-9999,    9
  8022, 47497,20000122,-9999,    9
  8022, 47497,20000123,-9999,    9
  8022, 47497,20000124,-9999,    9
  8022, 47497,20000125,-9999,    9
  8022, 47497,20000126,-9999,    9
  8022, 47497,20000127,-9999,    9
  8022, 47497,20000128,-9999,    9
  8022, 47497,20000129,-9999,    9
  8022, 47497,20000130,-9999,    9
  8022, 47497,20000131,-9999,    9
  8022, 47497,20000201,-9999,    9
  8022, 47497,20000202,-9999,    9
  8022, 47497,20000203,-9999,    9
  8022, 47497,20000204,-9999,    9
  8022, 47497,20000205,-9999,    9
  8022, 47497,20000206,-9999,    9
  8022, 47497,20000207,-9999,    9
  8022, 47497,20000208,-9999,    9
  8022, 47497,20000209,-9999,    9
  8022, 47497,20000210,-9999,    9
  8022, 47497,20000211,-9999,    9
  8022, 47497,20000212,-9999,    9
  8022, 47497,20000213,-9999,    9
  8022, 47497,20000214,-9999,    9
  8022, 47497,20000215,-9999,    9
  8022, 47497,20000216,-9999,    9
  8022, 47497,20000217,-9999,    9
  8022, 47497,20000218,-9999,    9
  8022, 47497,20000219,-9999,    9
  8022, 47497,20000220,-9999,    9
  8022, 47497,20000221,-9999,    9
  8022, 47497,20000222,-9999,    9
  8022, 47497,20000223,-9999,    9
  8022, 47497,20000224,-9999,    9
  8022, 47497,20000225,-9999,    9
  8022, 47497,20000226,-9999,    9
  8022, 47497,20000227,-9999,    9
  8022, 47497,20000228,-9999,    9
  8022, 47497,20000229,-9999,    9
  8022, 47497,20000301,-9999,    9
  8022, 47497,20000302,-9999,    9
  8022, 47497,20000303,-9999,    9
  8022, 47497,20000304,-9999,    9
  8022, 47497,20000305,-9999,    9
  8022, 47497,20000306,-9999,    9
  8022, 47497,20000307,-9999,    9
  8022, 47497,20000308,-9999,    9
  8022, 47497,20000309,-9999,    9
  8022, 47497,20000310,-9999,    9
  8022, 47497,20000311,-9999,    9
  8022, 47497,20000312,-9999,    9
  8022, 47497,20000313,-9999,    9
  8022, 47497,20000314,-9999,    9
  8022, 47497,20000315,-9999,    9
  8022, 47497,20000316,-9999,    9
  8022, 47497,20000317,-9999,    9
  8022, 47497,20000318,-9999,    9
  8022, 47497,20000319,-9999,    9
  8022, 47497,20000320,-9999,    9
  8022, 47497,20000321,-9999,    9
  8022, 47497,20000322,-9999,    9
  8022, 47497,20000323,-9999,    9
  8022, 47497,20000324,-9999,    9
  8022, 47497,20000325,-9999,    9
  8022, 47497,20000326,-9999,    9
  8022, 47497,20000327,-9999,    9
  8022, 47497,20000328,-9999,    9
  8022, 47497,20000329,-9999,    9
  8022, 47497,20000330,-9999,    9
  8022, 47497,20000331,-9999,    9
  8022, 47497,20000401,-9999,    9
  8022, 47497,20000402,-9999,    9
  8022, 47497,20000403,-9999,    9
  8022, 47497,20000404,-9999,    9
  8022, 47497,20000405,-9999,    9
  8022, 47497,20000406,-9999,    9
  8022, 47497,20000407,-9999,    9
  8022, 47497,20000408,-9999,    9
  8022, 47497,20000409,-9999,    9
  8022, 47497,20000410,-9999,    9
  8022, 47497,20000411,-9999,    9
  8022, 47497,20000412,-9999,    9
  8022, 47497,20000413,-9999,    9
  8022, 47497,20000414,-9999,    9
  8022, 47497,20000415,-9999,    9
  8022, 47497,20000416,-9999,    9
  8022, 47497,20000417,-9999,    9
  8022, 47497,20000418,-9999,    9
  8022, 47497,20000419,-9999,    9
  8022, 47497,20000420,-9999,    9
  8022, 47497,20000421,-9999,    9
  8022, 47497,20000422,-9999,    9
  8022, 47497,20000423,-9999,    9
  8022, 47497,20000424,-9999,    9
  8022, 47497,20000425,-9999,    9
  8022, 47497,20000426,-9999,    9
  8022, 47497,20000427,-9999,    9
  8022, 47497,20000428,-9999,    9
  8022, 47497,20000429,-9999,    9
  8022, 47497,20000430,-9999,    9
  8022, 47497,20000501,-9999,    9
  8022, 47497,20000502,-9999,    9
  8022, 47497,20000503,-9999,    9
  8022, 47497,20000504,-9999,    9
  8022, 47497,20000505,-9999,    9
  8022, 47497,20000506,-9999,    9
  8022, 47497,20000507,-9999,    9
  8022, 47497,20000508,-9999,    9
  8022, 47497,20000509,-9999,    9
  8022, 47497,20000510,-9999,    9
  8022, 47497,20000511,-9999,    9
  8022, 47497,20000512,-9999,    9
  8022, 47497,20000513,-9999,    9
  8022, 47497,20000514,-9999,    9
  8022, 47497,20000515,-9999,    9
  8022, 47497,20000516,-9999,    9
  8022, 47497,20000517,-9999,    9
  8022, 47497,20000518,-9999,    9
  8022, 47497,20000519,-9999,    9
  8022, 47497,20000520,-9999,    9
  8022, 47497,20000521,-9999,    9
  8022, 47497,20000522,-9999,    9
  8022, 47497,20000523,-9999,    9
  8022, 47497,20000524,-9999,    9
  8022, 47497,20000525,-9999,    9
  8022, 47497,20000526,-9999,    9
  8022, 47497,20000527,-9999,    9
  8022, 47497,20000528,-9999,    9
  8022, 47497,20000529,-9999,    9
  8022, 47497,20000530,-9999,    9
  8022, 47497,20000531,-9999,    9
  8022, 47497,20000601,-9999,    9
  8022, 47497,20000602,-9999,    9
  8022, 47497,20000603,-9999,    9
  8022, 47497,20000604,-9999,    9
  8022, 47497,20000605,-9999,    9
  8022, 47497,20000606,-9999,    9
  8022, 47497,20000607,-9999,    9
  8022, 47497,20000608,-9999,    9
  8022, 47497,20000609,-9999,    9
  8022, 47497,20000610,-9999,    9
  8022, 47497,20000611,-9999,    9
  8022, 47497,20000612,-9999,    9
  8022, 47497,20000613,-9999,    9
  8022, 47497,20000614,-9999,    9
  8022, 47497,20000615,-9999,    9
  8022, 47497,20000616,-9999,    9
  8022, 47497,20000617,-9999,    9
  8022, 47497,20000618,-9999,    9
  8022, 47497,20000619,-9999,    9
  8022, 47497,20000620,-9999,    9
  8022, 47497,20000621,-9999,    9
  8022, 47497,20000622,-9999,    9
  8022, 47497,20000623,-9999,    9
  8022, 47497,20000624,-9999,    9
  8022, 47497,20000625,-9999,    9
  8022, 47497,20000626,-9999,    9
  8022, 47497,20000627,-9999,    9
  8022, 47497,20000628,-9999,    9
  8022, 47497,20000629,-9999,    9
  8022, 47497,20000630,-9999,    9
  8022, 47497,20000701,-9999,    9
  8022, 47497,20000702,-9999,    9
  8022, 47497,20000703,-9999,    9
  8022, 47497,20000704,-9999,    9
  8022, 47497,20000705,-9999,    9
