EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAUKEDAL, NORWAY (STAID: 2692)
Blended and updated with sources:10790 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2692, 10790,20170901,-9999,    9
  2692, 10790,20170902,-9999,    9
  2692, 10790,20170903,-9999,    9
  2692, 10790,20170904,-9999,    9
  2692, 10790,20170905,-9999,    9
  2692, 10790,20170906,-9999,    9
  2692, 10790,20170907,-9999,    9
  2692, 10790,20170908,-9999,    9
  2692, 10790,20170909,-9999,    9
  2692, 10790,20170910,-9999,    9
  2692, 10790,20170911,-9999,    9
  2692, 10790,20170912,-9999,    9
  2692, 10790,20170913,-9999,    9
  2692, 10790,20170914,-9999,    9
  2692, 10790,20170915,-9999,    9
  2692, 10790,20170916,-9999,    9
  2692, 10790,20170917,-9999,    9
  2692, 10790,20170918,-9999,    9
  2692, 10790,20170919,-9999,    9
  2692, 10790,20170920,-9999,    9
  2692, 10790,20170921,-9999,    9
  2692, 10790,20170922,-9999,    9
  2692, 10790,20170923,-9999,    9
  2692, 10790,20170924,-9999,    9
  2692, 10790,20170925,-9999,    9
  2692, 10790,20170926,-9999,    9
  2692, 10790,20170927,-9999,    9
  2692, 10790,20170928,-9999,    9
  2692, 10790,20170929,-9999,    9
  2692, 10790,20170930,-9999,    9
  2692, 10790,20171001,-9999,    9
  2692, 10790,20171002,-9999,    9
  2692, 10790,20171003,-9999,    9
  2692, 10790,20171004,-9999,    9
  2692, 10790,20171005,-9999,    9
  2692, 10790,20171006,-9999,    9
  2692, 10790,20171007,-9999,    9
  2692, 10790,20171008,-9999,    9
  2692, 10790,20171009,-9999,    9
  2692, 10790,20171010,-9999,    9
  2692, 10790,20171011,-9999,    9
  2692, 10790,20171012,-9999,    9
  2692, 10790,20171013,-9999,    9
  2692, 10790,20171014,-9999,    9
  2692, 10790,20171015,-9999,    9
  2692, 10790,20171016,-9999,    9
  2692, 10790,20171017,-9999,    9
  2692, 10790,20171018,-9999,    9
  2692, 10790,20171019,-9999,    9
  2692, 10790,20171020,-9999,    9
  2692, 10790,20171021,-9999,    9
  2692, 10790,20171022,-9999,    9
  2692, 10790,20171023,-9999,    9
  2692, 10790,20171024,-9999,    9
  2692, 10790,20171025,-9999,    9
  2692, 10790,20171026,-9999,    9
  2692, 10790,20171027,-9999,    9
  2692, 10790,20171028,-9999,    9
  2692, 10790,20171029,-9999,    9
  2692, 10790,20171030,-9999,    9
  2692, 10790,20171031,-9999,    9
  2692, 10790,20171101,-9999,    9
  2692, 10790,20171102,-9999,    9
  2692, 10790,20171103,-9999,    9
  2692, 10790,20171104,-9999,    9
  2692, 10790,20171105,-9999,    9
  2692, 10790,20171106,-9999,    9
  2692, 10790,20171107,-9999,    9
  2692, 10790,20171108,-9999,    9
  2692, 10790,20171109,-9999,    9
  2692, 10790,20171110,-9999,    9
