EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LACOCK, UNITED KINGDOM (STAID: 11105)
Blended and updated with sources:56855 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11105, 56855,20130101,   51,    0
 11105, 56855,20130102,   73,    0
 11105, 56855,20130103,   78,    0
 11105, 56855,20130104,   99,    0
 11105, 56855,20130105,   98,    1
 11105, 56855,20130106,   69,    0
 11105, 56855,20130107,   77,    0
 11105, 56855,20130108,   96,    1
 11105, 56855,20130109,   70,    1
 11105, 56855,20130110,   29,    0
 11105, 56855,20130111,   52,    1
 11105, 56855,20130112,   30,    0
 11105, 56855,20130113,    5,    0
 11105, 56855,20130114,   17,    0
 11105, 56855,20130115,   13,    0
 11105, 56855,20130116,    0,    0
 11105, 56855,20130117,   -5,    0
 11105, 56855,20130118,   -3,    0
 11105, 56855,20130119,   -7,    0
 11105, 56855,20130120,  -13,    0
 11105, 56855,20130121,    3,    0
 11105, 56855,20130122,    5,    0
 11105, 56855,20130123,    3,    0
 11105, 56855,20130124,   10,    0
 11105, 56855,20130125,    9,    0
 11105, 56855,20130126,   58,    0
 11105, 56855,20130127,   55,    0
 11105, 56855,20130128,   64,    0
 11105, 56855,20130129,   83,    0
 11105, 56855,20130130,   97,    0
 11105, 56855,20130131,   80,    1
 11105, 56855,20130201,   59,    0
 11105, 56855,20130202,   51,    0
 11105, 56855,20130203,   37,    0
 11105, 56855,20130204,   63,    0
 11105, 56855,20130205,   47,    0
 11105, 56855,20130206,   45,    0
 11105, 56855,20130207,   20,    0
 11105, 56855,20130208,   29,    0
 11105, 56855,20130209,   39,    0
 11105, 56855,20130210,   42,    1
 11105, 56855,20130211,   22,    0
 11105, 56855,20130212,   15,    0
 11105, 56855,20130213,   50,    0
 11105, 56855,20130214,   61,    0
 11105, 56855,20130215,   49,    0
 11105, 56855,20130216,   48,    0
 11105, 56855,20130217,   54,    0
 11105, 56855,20130218,   34,    0
 11105, 56855,20130219,   38,    0
 11105, 56855,20130220,   14,    0
 11105, 56855,20130221,    4,    0
 11105, 56855,20130222,    9,    0
 11105, 56855,20130223,    9,    0
 11105, 56855,20130224,    6,    0
 11105, 56855,20130225,   25,    0
 11105, 56855,20130226,   32,    0
 11105, 56855,20130227,   35,    0
 11105, 56855,20130228,   28,    0
 11105, 56855,20130301,   37,    0
 11105, 56855,20130302,   45,    0
 11105, 56855,20130303,   10,    0
 11105, 56855,20130304,   49,    0
 11105, 56855,20130305,   61,    0
 11105, 56855,20130306,   46,    0
 11105, 56855,20130307,   88,    0
 11105, 56855,20130308,   98,    0
 11105, 56855,20130309,   80,    1
 11105, 56855,20130310,   28,    1
 11105, 56855,20130311,    4,    0
 11105, 56855,20130312,    7,    0
 11105, 56855,20130313,   25,    0
 11105, 56855,20130314,   13,    0
 11105, 56855,20130315,   39,    0
 11105, 56855,20130316,   69,    0
 11105, 56855,20130317,   51,    0
 11105, 56855,20130318,   24,    0
 11105, 56855,20130319,   35,    0
 11105, 56855,20130320,   36,    0
 11105, 56855,20130321,   43,    0
 11105, 56855,20130322,   49,    1
 11105, 56855,20130323,   15,    1
 11105, 56855,20130324,    0,    0
 11105, 56855,20130325,    7,    0
 11105, 56855,20130326,    7,    0
 11105, 56855,20130327,   14,    0
 11105, 56855,20130328,   16,    0
 11105, 56855,20130329,    6,    0
 11105, 56855,20130330,    9,    0
 11105, 56855,20130331,    8,    0
 11105, 56855,20130401,   30,    0
 11105, 56855,20130402,   27,    0
 11105, 56855,20130403,   21,    0
 11105, 56855,20130404,   20,    0
 11105, 56855,20130405,   44,    0
 11105, 56855,20130406,   28,    0
 11105, 56855,20130407,   27,    0
 11105, 56855,20130408,   57,    0
 11105, 56855,20130409,   61,    0
 11105, 56855,20130410,   59,    0
 11105, 56855,20130411,   82,    0
 11105, 56855,20130412,   85,    0
 11105, 56855,20130413,   76,    0
 11105, 56855,20130414,  113,    0
 11105, 56855,20130415,  113,    0
 11105, 56855,20130416,  130,    0
 11105, 56855,20130417,  121,    0
 11105, 56855,20130418,  105,    0
 11105, 56855,20130419,  100,    0
 11105, 56855,20130420,   75,    0
 11105, 56855,20130421,   64,    0
 11105, 56855,20130422,   87,    0
 11105, 56855,20130423,  126,    0
 11105, 56855,20130424,  113,    0
 11105, 56855,20130425,  116,    0
 11105, 56855,20130426,   89,    0
 11105, 56855,20130427,   67,    0
 11105, 56855,20130428,   66,    0
 11105, 56855,20130429,   87,    0
 11105, 56855,20130430,   68,    0
 11105, 56855,20130501,   73,    0
 11105, 56855,20130502,   94,    0
 11105, 56855,20130503,   85,    0
 11105, 56855,20130504,  108,    0
 11105, 56855,20130505,  126,    0
 11105, 56855,20130506,  114,    0
 11105, 56855,20130507,  117,    0
 11105, 56855,20130508,  135,    1
 11105, 56855,20130509,   90,    0
 11105, 56855,20130510,  122,    0
 11105, 56855,20130511,   99,    0
 11105, 56855,20130512,   80,    0
 11105, 56855,20130513,  105,    1
 11105, 56855,20130514,   77,    0
 11105, 56855,20130515,  101,    0
 11105, 56855,20130516,   93,    0
 11105, 56855,20130517,   96,    0
 11105, 56855,20130518,  115,    0
 11105, 56855,20130519,  123,    0
 11105, 56855,20130520,  135,    0
 11105, 56855,20130521,  133,    0
 11105, 56855,20130522,  119,    1
 11105, 56855,20130523,   81,    0
 11105, 56855,20130524,   78,    0
 11105, 56855,20130525,  103,    0
 11105, 56855,20130526,   99,    0
 11105, 56855,20130527,   88,    0
 11105, 56855,20130528,  103,    0
 11105, 56855,20130529,  104,    0
 11105, 56855,20130530,  129,    0
 11105, 56855,20130531,  148,    0
 11105, 56855,20130601,  118,    0
 11105, 56855,20130602,  108,    0
 11105, 56855,20130603,  109,    0
 11105, 56855,20130604,  117,    0
 11105, 56855,20130605,  130,    0
 11105, 56855,20130606,  136,    0
 11105, 56855,20130607,  130,    0
 11105, 56855,20130608,  129,    0
 11105, 56855,20130609,  129,    0
 11105, 56855,20130610,   98,    0
 11105, 56855,20130611,  134,    0
 11105, 56855,20130612,  141,    0
 11105, 56855,20130613,  140,    0
 11105, 56855,20130614,  127,    0
 11105, 56855,20130615,  125,    0
 11105, 56855,20130616,  131,    0
 11105, 56855,20130617,  144,    0
 11105, 56855,20130618,  155,    0
 11105, 56855,20130619,  175,    0
 11105, 56855,20130620,  177,    0
 11105, 56855,20130621,  178,    1
 11105, 56855,20130622,  141,    0
 11105, 56855,20130623,  134,    0
 11105, 56855,20130624,  136,    0
 11105, 56855,20130625,  120,    0
 11105, 56855,20130626,  135,    0
 11105, 56855,20130627,  149,    0
 11105, 56855,20130628,  167,    0
 11105, 56855,20130629,  172,    0
 11105, 56855,20130630,  167,    0
 11105, 56855,20130701,  155,    0
 11105, 56855,20130702,  129,    0
 11105, 56855,20130703,  150,    0
 11105, 56855,20130704,  163,    0
 11105, 56855,20130705,  173,    0
 11105, 56855,20130706,  178,    0
 11105, 56855,20130707,  196,    0
 11105, 56855,20130708,  197,    0
 11105, 56855,20130709,  190,    0
 11105, 56855,20130710,  172,    0
 11105, 56855,20130711,  161,    0
 11105, 56855,20130712,  170,    0
 11105, 56855,20130713,  200,    0
 11105, 56855,20130714,  214,    0
 11105, 56855,20130715,  199,    0
 11105, 56855,20130716,  211,    0
 11105, 56855,20130717,  218,    0
 11105, 56855,20130718,  214,    0
 11105, 56855,20130719,  199,    0
 11105, 56855,20130720,  208,    0
 11105, 56855,20130721,  208,    0
 11105, 56855,20130722,  222,    0
 11105, 56855,20130723,  216,    0
 11105, 56855,20130724,  193,    0
 11105, 56855,20130725,  204,    0
 11105, 56855,20130726,  189,    0
 11105, 56855,20130727,  164,    0
 11105, 56855,20130728,  178,    0
 11105, 56855,20130729,  177,    0
 11105, 56855,20130730,  181,    0
 11105, 56855,20130731,  187,    0
 11105, 56855,20130801,  225,    0
 11105, 56855,20130802,  190,    0
 11105, 56855,20130803,  168,    0
 11105, 56855,20130804,  160,    0
 11105, 56855,20130805,  184,    0
 11105, 56855,20130806,  150,    0
 11105, 56855,20130807,  159,    0
 11105, 56855,20130808,  157,    0
