EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOLASIN, MONTENEGRO (STAID: 11379)
Blended and updated with sources:75540 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11379, 75540,20160701,  192,    0
 11379, 75540,20160702,  202,    0
 11379, 75540,20160703,  205,    0
 11379, 75540,20160704,  184,    0
 11379, 75540,20160705,  180,    0
 11379, 75540,20160706,  186,    0
 11379, 75540,20160707,  186,    0
 11379, 75540,20160708,  162,    0
 11379, 75540,20160709,  191,    0
 11379, 75540,20160710,-9999,    9
 11379, 75540,20160711,  211,    0
 11379, 75540,20160712,  230,    0
 11379, 75540,20160713,  220,    0
 11379, 75540,20160714,  201,    0
 11379, 75540,20160715,  155,    0
 11379, 75540,20160716,  140,    0
 11379, 75540,20160717,  153,    0
 11379, 75540,20160718,  179,    0
 11379, 75540,20160719,  180,    0
 11379, 75540,20160720,  193,    0
 11379, 75540,20160721,-9999,    9
 11379, 75540,20160722,  194,    0
 11379, 75540,20160723,  223,    0
 11379, 75540,20160724,  218,    0
 11379, 75540,20160725,  202,    0
 11379, 75540,20160726,  191,    0
 11379, 75540,20160727,  200,    0
 11379, 75540,20160728,  215,    0
 11379, 75540,20160729,  194,    0
 11379, 75540,20160730,  211,    0
 11379, 75540,20160731,  220,    0
 11379, 75540,20160801,  206,    0
 11379, 75540,20160802,  190,    0
 11379, 75540,20160803,  176,    0
 11379, 75540,20160804,  184,    0
 11379, 75540,20160805,  203,    0
 11379, 75540,20160806,  174,    0
 11379, 75540,20160807,  171,    0
 11379, 75540,20160808,-9999,    9
 11379, 75540,20160809,  184,    0
 11379, 75540,20160810,  206,    0
 11379, 75540,20160811,  145,    0
 11379, 75540,20160812,  137,    0
 11379, 75540,20160813,  147,    0
 11379, 75540,20160814,  141,    0
 11379, 75540,20160815,  172,    0
 11379, 75540,20160816,  189,    0
 11379, 75540,20160817,  179,    0
 11379, 75540,20160818,  195,    0
 11379, 75540,20160819,  192,    0
 11379, 75540,20160820,  181,    0
 11379, 75540,20160821,  205,    0
 11379, 75540,20160822,  161,    0
 11379, 75540,20160823,  138,    0
 11379, 75540,20160824,  165,    0
 11379, 75540,20160825,  193,    0
 11379, 75540,20160826,  188,    0
 11379, 75540,20160827,  165,    0
 11379, 75540,20160828,  167,    0
 11379, 75540,20160829,  176,    0
 11379, 75540,20160830,  181,    0
 11379, 75540,20160831,  176,    0
 11379, 75540,20160901,  182,    0
 11379, 75540,20160902,  175,    0
 11379, 75540,20160903,  169,    0
 11379, 75540,20160904,  175,    0
 11379, 75540,20160905,  145,    0
 11379, 75540,20160906,  115,    0
 11379, 75540,20160907,  157,    0
 11379, 75540,20160908,  164,    0
 11379, 75540,20160909,  174,    0
 11379, 75540,20160910,  180,    0
 11379, 75540,20160911,  171,    0
 11379, 75540,20160912,  177,    0
 11379, 75540,20160913,  171,    0
 11379, 75540,20160914,  175,    0
 11379, 75540,20160915,  177,    0
 11379, 75540,20160916,  175,    0
 11379, 75540,20160917,  155,    0
 11379, 75540,20160918,  160,    0
 11379, 75540,20160919,  149,    0
 11379, 75540,20160920,  131,    0
 11379, 75540,20160921,  125,    0
 11379, 75540,20160922,  118,    0
 11379, 75540,20160923,   99,    0
 11379, 75540,20160924,   99,    0
 11379, 75540,20160925,  100,    0
 11379, 75540,20160926,   93,    0
 11379, 75540,20160927,   95,    0
 11379, 75540,20160928,  115,    0
 11379, 75540,20160929,  139,    0
 11379, 75540,20160930,  133,    0
 11379, 75540,20161001,  123,    0
 11379, 75540,20161002,  131,    0
 11379, 75540,20161003,  166,    0
 11379, 75540,20161004,  121,    0
 11379, 75540,20161005,   70,    0
 11379, 75540,20161006,   39,    0
 11379, 75540,20161007,   85,    0
 11379, 75540,20161008,   85,    0
 11379, 75540,20161009,   52,    0
 11379, 75540,20161010,   72,    0
 11379, 75540,20161011,   91,    0
 11379, 75540,20161012,   69,    0
 11379, 75540,20161013,   83,    0
 11379, 75540,20161014,  126,    0
 11379, 75540,20161015,  137,    0
 11379, 75540,20161016,  139,    0
 11379, 75540,20161017,  121,    0
 11379, 75540,20161018,  100,    0
 11379, 75540,20161019,  114,    0
 11379, 75540,20161020,  110,    0
 11379, 75540,20161021,  116,    0
 11379, 75540,20161022,  129,    0
 11379, 75540,20161023,  115,    0
 11379, 75540,20161024,  134,    0
 11379, 75540,20161025,  142,    0
 11379, 75540,20161026,  147,    0
 11379, 75540,20161027,  104,    0
 11379, 75540,20161028,   47,    0
 11379, 75540,20161029,   70,    0
 11379, 75540,20161030,   88,    0
 11379, 75540,20161031,   60,    0
 11379, 75540,20161101,   85,    0
 11379, 75540,20161102,   53,    0
 11379, 75540,20161103,   78,    0
 11379, 75540,20161104,   72,    0
 11379, 75540,20161105,   84,    0
 11379, 75540,20161106,-9999,    9
 11379, 75540,20161107,  125,    0
 11379, 75540,20161108,   78,    0
 11379, 75540,20161109,   88,    0
 11379, 75540,20161110,   32,    0
 11379, 75540,20161111,   49,    0
 11379, 75540,20161112,   73,    0
 11379, 75540,20161113,   39,    0
 11379, 75540,20161114,   -4,    0
 11379, 75540,20161115,  -17,    0
 11379, 75540,20161116,   -2,    0
 11379, 75540,20161117,   54,    0
 11379, 75540,20161118,   54,    0
 11379, 75540,20161119,   73,    0
 11379, 75540,20161120,  107,    0
 11379, 75540,20161121,   83,    0
 11379, 75540,20161122,-9999,    9
 11379, 75540,20161123,   60,    0
 11379, 75540,20161124,   62,    0
 11379, 75540,20161125,   34,    0
 11379, 75540,20161126,   87,    0
 11379, 75540,20161127,  101,    0
 11379, 75540,20161128,   23,    0
 11379, 75540,20161129,  -42,    0
 11379, 75540,20161130,  -39,    0
 11379, 75540,20161201,  -20,    0
 11379, 75540,20161202,    7,    0
 11379, 75540,20161203,    0,    0
 11379, 75540,20161204,  -25,    0
 11379, 75540,20161205,  -23,    0
 11379, 75540,20161206,    7,    0
 11379, 75540,20161207,  -16,    0
 11379, 75540,20161208,  -28,    0
 11379, 75540,20161209,    7,    0
 11379, 75540,20161210,    4,    0
 11379, 75540,20161211,   15,    0
 11379, 75540,20161212,  -10,    0
 11379, 75540,20161213,   -6,    0
 11379, 75540,20161214,  -34,    0
 11379, 75540,20161215,  -20,    0
 11379, 75540,20161216,   -7,    0
 11379, 75540,20161217,  -22,    0
 11379, 75540,20161218,  -28,    0
 11379, 75540,20161219,  -27,    0
 11379, 75540,20161220,  -32,    0
 11379, 75540,20161221,  -24,    0
 11379, 75540,20161222,   16,    0
 11379, 75540,20161223,   21,    0
 11379, 75540,20161224,   16,    0
 11379, 75540,20161225,   -6,    0
 11379, 75540,20161226,   33,    0
 11379, 75540,20161227,   17,    0
 11379, 75540,20161228,-9999,    9
 11379, 75540,20161229,  -45,    0
 11379, 75540,20161230,  -51,    0
 11379, 75540,20161231,  -52,    0
 11379, 75540,20170101,  -81,    0
 11379, 75540,20170102,  -39,    0
 11379, 75540,20170103,   -1,    0
 11379, 75540,20170104,    8,    0
 11379, 75540,20170105,   -7,    0
 11379, 75540,20170106, -111,    0
 11379, 75540,20170107, -153,    0
 11379, 75540,20170108, -147,    0
 11379, 75540,20170109, -157,    0
 11379, 75540,20170110, -150,    0
 11379, 75540,20170111, -164,    0
 11379, 75540,20170112, -105,    0
 11379, 75540,20170113,   -1,    0
 11379, 75540,20170114,    7,    0
 11379, 75540,20170115,  -81,    0
 11379, 75540,20170116,  -46,    0
 11379, 75540,20170117,  -14,    0
 11379, 75540,20170118,  -42,    0
 11379, 75540,20170119,  -43,    0
 11379, 75540,20170120,  -44,    0
 11379, 75540,20170121,  -43,    0
 11379, 75540,20170122,  -50,    0
 11379, 75540,20170123,  -64,    0
 11379, 75540,20170124,  -43,    0
 11379, 75540,20170125,  -47,    0
 11379, 75540,20170126,  -55,    0
 11379, 75540,20170127,  -76,    0
 11379, 75540,20170128,  -51,    0
 11379, 75540,20170129,  -36,    0
 11379, 75540,20170130,  -17,    0
 11379, 75540,20170131,    1,    0
 11379, 75540,20170201,  -31,    0
 11379, 75540,20170202,   33,    0
 11379, 75540,20170203,   45,    0
 11379, 75540,20170204,   53,    0
 11379, 75540,20170205,   69,    0
 11379, 75540,20170206,   86,    0
 11379, 75540,20170207,   33,    0
 11379, 75540,20170208,   12,    0
 11379, 75540,20170209,   18,    0
 11379, 75540,20170210,   18,    0
 11379, 75540,20170211,   32,    0
 11379, 75540,20170212,   26,    0
 11379, 75540,20170213,    0,    0
 11379, 75540,20170214,    6,    0
 11379, 75540,20170215,   29,    0
 11379, 75540,20170216,   46,    0
 11379, 75540,20170217,-9999,    9
 11379, 75540,20170218,   23,    0
 11379, 75540,20170219,    9,    0
 11379, 75540,20170220,   -1,    0
 11379, 75540,20170221,    5,    0
 11379, 75540,20170222,   40,    0
 11379, 75540,20170223,   42,    0
 11379, 75540,20170224,   55,    0
 11379, 75540,20170225,   10,    0
 11379, 75540,20170226,   53,    0
 11379, 75540,20170227,   81,    0
 11379, 75540,20170228,   60,    0
 11379, 75540,20170301,   71,    0
 11379, 75540,20170302,   51,    0
 11379, 75540,20170303,   51,    0
 11379, 75540,20170304,   65,    0
 11379, 75540,20170305,   84,    0
 11379, 75540,20170306,   63,    0
 11379, 75540,20170307,   45,    0
 11379, 75540,20170308,   27,    0
 11379, 75540,20170309,   59,    0
 11379, 75540,20170310,   57,    0
 11379, 75540,20170311,   19,    0
 11379, 75540,20170312,   24,    0
 11379, 75540,20170313,   15,    0
 11379, 75540,20170314,   47,    0
 11379, 75540,20170315,   58,    0
 11379, 75540,20170316,   51,    0
 11379, 75540,20170317,   56,    0
 11379, 75540,20170318,   59,    0
 11379, 75540,20170319,  106,    0
 11379, 75540,20170320,  113,    0
 11379, 75540,20170321,  110,    0
 11379, 75540,20170322,  108,    0
 11379, 75540,20170323,  108,    0
 11379, 75540,20170324,  113,    0
 11379, 75540,20170325,  123,    0
 11379, 75540,20170326,   79,    0
 11379, 75540,20170327,   43,    0
 11379, 75540,20170328,   75,    0
 11379, 75540,20170329,   77,    0
 11379, 75540,20170330,   78,    0
 11379, 75540,20170331,  112,    0
 11379, 75540,20170401,   93,    0
 11379, 75540,20170402,  102,    0
 11379, 75540,20170403,   98,    0
 11379, 75540,20170404,   77,    0
 11379, 75540,20170405,   79,    0
 11379, 75540,20170406,   63,    0
 11379, 75540,20170407,   40,    0
 11379, 75540,20170408,   78,    0
 11379, 75540,20170409,   93,    0
 11379, 75540,20170410,   99,    0
 11379, 75540,20170411,  107,    0
 11379, 75540,20170412,  120,    0
 11379, 75540,20170413,  109,    0
 11379, 75540,20170414,  116,    0
 11379, 75540,20170415,  106,    0
