EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LJUNGBYHED, SWEDEN (STAID: 5201)
Blended and updated with sources:35246 62743 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5201, 35246,19490101,   28,    1
  5201, 35246,19490102,   39,    1
  5201, 35246,19490103,   32,    1
  5201, 35246,19490104,    6,    1
  5201, 35246,19490105,  -22,    1
  5201, 35246,19490106,   26,    1
  5201, 35246,19490107,   53,    1
  5201, 35246,19490108,   40,    1
  5201, 35246,19490109,  -21,    1
  5201, 35246,19490110,  -22,    1
  5201, 35246,19490111,    9,    1
  5201, 35246,19490112,   15,    1
  5201, 35246,19490113,    2,    1
  5201, 35246,19490114,   38,    1
  5201, 35246,19490115,   21,    1
  5201, 35246,19490116,  -27,    1
  5201, 35246,19490117,    0,    0
  5201, 35246,19490118,   40,    1
  5201, 35246,19490119,   71,    1
  5201, 35246,19490120,   33,    1
  5201, 35246,19490121,   15,    1
  5201, 35246,19490122,  -68,    1
  5201, 35246,19490123,  -11,    1
  5201, 35246,19490124,   19,    1
  5201, 35246,19490125,   23,    1
  5201, 35246,19490126,  -13,    1
  5201, 35246,19490127,   -2,    1
  5201, 35246,19490128,   21,    1
  5201, 35246,19490129,    6,    1
  5201, 35246,19490130,   35,    1
  5201, 35246,19490131,    5,    1
  5201, 35246,19490201,  -18,    1
  5201, 35246,19490202,  -35,    1
  5201, 35246,19490203,   30,    1
  5201, 35246,19490204,   53,    1
  5201, 35246,19490205,    5,    1
  5201, 35246,19490206,  -24,    1
  5201, 35246,19490207,    1,    1
  5201, 35246,19490208,   -1,    1
  5201, 35246,19490209,   18,    1
  5201, 35246,19490210,   14,    1
  5201, 35246,19490211,  -11,    1
  5201, 35246,19490212,  -15,    1
  5201, 35246,19490213,    2,    1
  5201, 35246,19490214,   34,    1
  5201, 35246,19490215,   50,    1
  5201, 35246,19490216,   68,    1
  5201, 35246,19490217,   57,    1
  5201, 35246,19490218,   44,    1
  5201, 35246,19490219,   30,    1
  5201, 35246,19490220,   37,    1
  5201, 35246,19490221,   59,    1
  5201, 35246,19490222,   54,    1
  5201, 35246,19490223,   60,    1
  5201, 35246,19490224,   33,    1
  5201, 35246,19490225,   24,    1
  5201, 35246,19490226,   32,    1
  5201, 35246,19490227,   13,    1
  5201, 35246,19490228,   -8,    1
  5201, 35246,19490301,   -9,    1
  5201, 35246,19490302,  -62,    1
  5201, 35246,19490303,  -75,    1
  5201, 35246,19490304,  -67,    1
  5201, 35246,19490305,  -74,    1
  5201, 35246,19490306,  -22,    1
  5201, 35246,19490307,  -61,    1
  5201, 35246,19490308,  -15,    1
  5201, 35246,19490309,    0,    0
  5201, 35246,19490310,  -18,    1
  5201, 35246,19490311,    3,    1
  5201, 35246,19490312,   -3,    1
  5201, 35246,19490313,   32,    1
  5201, 35246,19490314,   31,    1
  5201, 35246,19490315,   35,    1
  5201, 35246,19490316,   10,    1
  5201, 35246,19490317,  -13,    1
