EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WUSTRAU-ZIETHENHORST, GERMANY (STAID: 4793)
Blended and updated with sources:2238 30608 910270 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4793, 30608,19520401,  -18,    0
  4793, 30608,19520402,   -5,    0
  4793, 30608,19520403,   34,    0
  4793, 30608,19520404,   55,    0
  4793, 30608,19520405,   68,    0
  4793, 30608,19520406,   62,    0
  4793, 30608,19520407,  109,    0
  4793, 30608,19520408,  104,    0
  4793, 30608,19520409,  109,    0
  4793, 30608,19520410,  109,    0
  4793, 30608,19520411,  143,    0
  4793, 30608,19520412,  137,    0
  4793, 30608,19520413,  162,    0
  4793, 30608,19520414,  162,    0
  4793, 30608,19520415,  171,    0
  4793, 30608,19520416,  143,    0
  4793, 30608,19520417,  105,    0
  4793, 30608,19520418,  133,    0
  4793, 30608,19520419,  127,    0
  4793, 30608,19520420,  153,    0
  4793, 30608,19520421,  127,    0
  4793, 30608,19520422,  129,    0
  4793, 30608,19520423,  135,    0
  4793, 30608,19520424,  119,    0
  4793, 30608,19520425,  114,    0
  4793, 30608,19520426,   91,    0
  4793, 30608,19520427,   86,    0
  4793, 30608,19520428,   94,    0
  4793, 30608,19520429,   68,    0
  4793, 30608,19520430,  143,    0
  4793, 30608,19520501,  137,    0
  4793, 30608,19520502,  100,    0
  4793, 30608,19520503,  133,    0
  4793, 30608,19520504,  169,    0
  4793, 30608,19520505,  146,    0
  4793, 30608,19520506,  158,    0
  4793, 30608,19520507,  148,    0
  4793, 30608,19520508,  152,    0
  4793, 30608,19520509,  169,    0
  4793, 30608,19520510,  138,    0
  4793, 30608,19520511,  150,    0
  4793, 30608,19520512,  124,    0
  4793, 30608,19520513,  112,    0
  4793, 30608,19520514,  122,    0
  4793, 30608,19520515,  133,    0
  4793, 30608,19520516,   97,    0
  4793, 30608,19520517,   93,    0
  4793, 30608,19520518,  110,    0
  4793, 30608,19520519,   67,    0
  4793, 30608,19520520,   67,    0
  4793, 30608,19520521,   90,    0
  4793, 30608,19520522,  127,    0
  4793, 30608,19520523,  127,    0
  4793, 30608,19520524,  128,    0
  4793, 30608,19520525,  109,    0
  4793, 30608,19520526,  116,    0
  4793, 30608,19520527,   94,    0
  4793, 30608,19520528,  112,    0
  4793, 30608,19520529,   85,    0
  4793, 30608,19520530,   96,    0
  4793, 30608,19520531,  170,    0
  4793, 30608,19520601,  166,    0
  4793, 30608,19520602,  167,    0
  4793, 30608,19520603,  146,    0
  4793, 30608,19520604,  113,    0
  4793, 30608,19520605,  145,    0
  4793, 30608,19520606,  183,    0
  4793, 30608,19520607,  142,    0
  4793, 30608,19520608,  118,    0
  4793, 30608,19520609,  115,    0
  4793, 30608,19520610,  117,    0
  4793, 30608,19520611,  125,    0
  4793, 30608,19520612,  119,    0
  4793, 30608,19520613,  186,    0
  4793, 30608,19520614,  165,    0
  4793, 30608,19520615,  129,    0
  4793, 30608,19520616,  109,    0
  4793, 30608,19520617,  163,    0
  4793, 30608,19520618,  194,    0
  4793, 30608,19520619,  146,    0
  4793, 30608,19520620,  143,    0
  4793, 30608,19520621,  134,    0
  4793, 30608,19520622,  132,    0
  4793, 30608,19520623,  129,    0
  4793, 30608,19520624,  112,    0
  4793, 30608,19520625,  125,    0
  4793, 30608,19520626,  132,    0
  4793, 30608,19520627,  155,    0
  4793, 30608,19520628,  173,    0
  4793, 30608,19520629,  204,    0
  4793, 30608,19520630,  223,    0
  4793, 30608,19520701,  211,    0
  4793, 30608,19520702,  262,    0
  4793, 30608,19520703,  224,    0
  4793, 30608,19520704,  201,    0
  4793, 30608,19520705,  201,    0
  4793, 30608,19520706,  187,    0
  4793, 30608,19520707,  192,    0
  4793, 30608,19520708,  206,    0
  4793, 30608,19520709,  221,    0
  4793, 30608,19520710,  196,    0
  4793, 30608,19520711,  207,    0
  4793, 30608,19520712,  167,    0
  4793, 30608,19520713,  165,    0
  4793, 30608,19520714,  176,    0
  4793, 30608,19520715,  151,    0
  4793, 30608,19520716,  136,    0
  4793, 30608,19520717,  155,    0
  4793, 30608,19520718,  139,    0
  4793, 30608,19520719,  137,    0
  4793, 30608,19520720,  165,    0
  4793, 30608,19520721,  139,    0
  4793, 30608,19520722,  189,    0
  4793, 30608,19520723,  143,    0
  4793, 30608,19520724,  131,    0
  4793, 30608,19520725,  136,    0
  4793, 30608,19520726,  127,    0
  4793, 30608,19520727,  168,    0
  4793, 30608,19520728,  141,    0
  4793, 30608,19520729,  146,    0
  4793, 30608,19520730,  156,    0
  4793, 30608,19520731,  173,    0
  4793, 30608,19520801,  192,    0
  4793, 30608,19520802,  218,    0
  4793, 30608,19520803,  205,    0
  4793, 30608,19520804,  181,    0
  4793, 30608,19520805,  209,    0
  4793, 30608,19520806,  221,    0
  4793, 30608,19520807,  193,    0
  4793, 30608,19520808,  188,    0
  4793, 30608,19520809,  203,    0
  4793, 30608,19520810,  180,    0
  4793, 30608,19520811,  179,    0
  4793, 30608,19520812,  222,    0
  4793, 30608,19520813,  207,    0
  4793, 30608,19520814,  176,    0
  4793, 30608,19520815,  191,    0
  4793, 30608,19520816,  176,    0
  4793, 30608,19520817,  143,    0
  4793, 30608,19520818,  140,    0
  4793, 30608,19520819,  159,    0
  4793, 30608,19520820,  164,    0
  4793, 30608,19520821,  149,    0
  4793, 30608,19520822,  137,    0
  4793, 30608,19520823,  129,    0
  4793, 30608,19520824,  145,    0
  4793, 30608,19520825,  153,    0
  4793, 30608,19520826,  130,    1
  4793, 30608,19520827,  154,    0
  4793, 30608,19520828,  142,    1
  4793, 30608,19520829,  123,    0
  4793, 30608,19520830,  162,    0
  4793, 30608,19520831,  192,    0
  4793, 30608,19520901,  174,    0
  4793, 30608,19520902,  141,    0
  4793, 30608,19520903,  123,    0
  4793, 30608,19520904,  106,    0
  4793, 30608,19520905,  109,    0
  4793, 30608,19520906,  108,    0
  4793, 30608,19520907,   96,    0
  4793, 30608,19520908,  108,    0
  4793, 30608,19520909,  119,    0
  4793, 30608,19520910,   87,    0
  4793, 30608,19520911,   88,    0
  4793, 30608,19520912,  116,    0
  4793, 30608,19520913,   93,    0
  4793, 30608,19520914,   94,    0
