EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DOMBAS - NORDIGARD, NORWAY (STAID: 18194)
Blended and updated with sources:595 99380 100710 100799 100994 101024 901233 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18194,100994,19000101,  -39,    1
 18194,100994,19000102,  -92,    0
 18194,100994,19000103,  -94,    0
 18194,100994,19000104, -114,    0
 18194,100994,19000105, -167,    0
 18194,100994,19000106, -190,    0
 18194,100994,19000107, -121,    0
 18194,100994,19000108,  -76,    0
 18194,100994,19000109,  -87,    0
 18194,100994,19000110,  -70,    0
 18194,100994,19000111,  -81,    0
 18194,100994,19000112, -189,    0
 18194,100994,19000113, -199,    0
 18194,100994,19000114, -155,    0
 18194,100994,19000115, -108,    0
 18194,100994,19000116,  -95,    0
 18194,100994,19000117,  -81,    0
 18194,100994,19000118,  -86,    0
 18194,100994,19000119, -102,    0
 18194,100994,19000120,  -67,    0
 18194,100994,19000121,  -83,    0
 18194,100994,19000122,  -16,    0
 18194,100994,19000123,  -21,    0
 18194,100994,19000124,  -44,    1
 18194,100994,19000125,  -31,    0
 18194,100994,19000126,  -26,    0
 18194,100994,19000127,  -43,    0
 18194,100994,19000128, -103,    0
 18194,100994,19000129,  -74,    0
 18194,100994,19000130,  -76,    0
 18194,100994,19000131, -153,    0
 18194,100994,19000201, -211,    1
 18194,100994,19000202, -237,    0
 18194,100994,19000203, -210,    0
 18194,100994,19000204, -191,    0
 18194,100994,19000205, -171,    0
