EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KAP MORRIS JESUP, GREENLAND [DENMARK] (STAID: 8013)
Blended and updated with sources:47377 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8013, 47377,19800101,-9999,    9
  8013, 47377,19800102,-9999,    9
  8013, 47377,19800103,-9999,    9
  8013, 47377,19800104,-9999,    9
  8013, 47377,19800105,-9999,    9
  8013, 47377,19800106,-9999,    9
  8013, 47377,19800107,-9999,    9
  8013, 47377,19800108,-9999,    9
  8013, 47377,19800109,-9999,    9
  8013, 47377,19800110,-9999,    9
  8013, 47377,19800111,-9999,    9
  8013, 47377,19800112,-9999,    9
  8013, 47377,19800113,-9999,    9
  8013, 47377,19800114,-9999,    9
  8013, 47377,19800115,-9999,    9
  8013, 47377,19800116,-9999,    9
  8013, 47377,19800117,-9999,    9
  8013, 47377,19800118,-9999,    9
  8013, 47377,19800119,-9999,    9
  8013, 47377,19800120,-9999,    9
  8013, 47377,19800121,-9999,    9
  8013, 47377,19800122,-9999,    9
  8013, 47377,19800123,-9999,    9
  8013, 47377,19800124,-9999,    9
  8013, 47377,19800125,-9999,    9
  8013, 47377,19800126,-9999,    9
  8013, 47377,19800127,-9999,    9
  8013, 47377,19800128,-9999,    9
  8013, 47377,19800129,-9999,    9
  8013, 47377,19800130,-9999,    9
  8013, 47377,19800131,-9999,    9
  8013, 47377,19800201,-9999,    9
  8013, 47377,19800202,-9999,    9
  8013, 47377,19800203,-9999,    9
  8013, 47377,19800204,-9999,    9
  8013, 47377,19800205,-9999,    9
  8013, 47377,19800206,-9999,    9
  8013, 47377,19800207,-9999,    9
  8013, 47377,19800208,-9999,    9
  8013, 47377,19800209,-9999,    9
  8013, 47377,19800210,-9999,    9
  8013, 47377,19800211,-9999,    9
  8013, 47377,19800212,-9999,    9
  8013, 47377,19800213,-9999,    9
  8013, 47377,19800214,-9999,    9
  8013, 47377,19800215,-9999,    9
  8013, 47377,19800216,-9999,    9
  8013, 47377,19800217,-9999,    9
  8013, 47377,19800218,-9999,    9
  8013, 47377,19800219,-9999,    9
  8013, 47377,19800220,-9999,    9
  8013, 47377,19800221,-9999,    9
  8013, 47377,19800222,-9999,    9
  8013, 47377,19800223,-9999,    9
  8013, 47377,19800224,-9999,    9
  8013, 47377,19800225,-9999,    9
  8013, 47377,19800226,-9999,    9
  8013, 47377,19800227,-9999,    9
  8013, 47377,19800228,-9999,    9
  8013, 47377,19800229,-9999,    9
  8013, 47377,19800301,-9999,    9
  8013, 47377,19800302,-9999,    9
  8013, 47377,19800303,-9999,    9
  8013, 47377,19800304,-9999,    9
  8013, 47377,19800305,-9999,    9
  8013, 47377,19800306,-9999,    9
  8013, 47377,19800307,-9999,    9
  8013, 47377,19800308,-9999,    9
  8013, 47377,19800309,-9999,    9
  8013, 47377,19800310,-9999,    9
  8013, 47377,19800311,-9999,    9
  8013, 47377,19800312,-9999,    9
  8013, 47377,19800313,-9999,    9
  8013, 47377,19800314,-9999,    9
  8013, 47377,19800315,-9999,    9
  8013, 47377,19800316,-9999,    9
  8013, 47377,19800317,-9999,    9
  8013, 47377,19800318,-9999,    9
  8013, 47377,19800319,-9999,    9
  8013, 47377,19800320,-9999,    9
  8013, 47377,19800321,-9999,    9
  8013, 47377,19800322,-9999,    9
  8013, 47377,19800323,-9999,    9
