EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INARI SEVETTIJARVI, FINLAND (STAID: 7903)
Blended and updated with sources:46771 46776 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7903, 46771,19710101, -160,    0
  7903, 46771,19710102, -139,    0
  7903, 46771,19710103, -118,    0
  7903, 46771,19710104, -155,    0
  7903, 46771,19710105, -178,    0
  7903, 46771,19710106, -223,    0
  7903, 46771,19710107, -264,    0
  7903, 46771,19710108, -252,    0
  7903, 46771,19710109, -135,    0
  7903, 46771,19710110,  -18,    0
  7903, 46771,19710111,  -34,    0
  7903, 46771,19710112, -113,    0
  7903, 46771,19710113,  -93,    0
  7903, 46771,19710114,  -24,    0
  7903, 46771,19710115,  -81,    0
  7903, 46771,19710116, -194,    0
  7903, 46771,19710117, -278,    0
  7903, 46771,19710118, -265,    0
  7903, 46771,19710119, -257,    0
  7903, 46771,19710120, -170,    0
  7903, 46771,19710121,  -83,    0
  7903, 46771,19710122,  -72,    0
  7903, 46771,19710123,  -78,    0
  7903, 46771,19710124,  -24,    0
  7903, 46771,19710125,   -1,    0
  7903, 46771,19710126,  -65,    0
  7903, 46771,19710127, -189,    0
  7903, 46771,19710128, -267,    0
  7903, 46771,19710129, -283,    0
  7903, 46771,19710130, -255,    0
  7903, 46771,19710131, -145,    0
  7903, 46771,19710201, -144,    0
  7903, 46771,19710202, -191,    0
  7903, 46771,19710203, -136,    0
  7903, 46771,19710204,  -60,    0
  7903, 46771,19710205,  -78,    0
  7903, 46771,19710206, -114,    0
  7903, 46771,19710207, -150,    0
  7903, 46771,19710208, -140,    0
  7903, 46771,19710209, -163,    0
  7903, 46771,19710210, -233,    0
  7903, 46771,19710211, -181,    0
  7903, 46771,19710212,  -58,    0
  7903, 46771,19710213,  -40,    0
  7903, 46771,19710214,  -48,    0
  7903, 46771,19710215,  -87,    0
  7903, 46771,19710216, -114,    0
  7903, 46771,19710217, -129,    0
  7903, 46771,19710218, -186,    0
  7903, 46771,19710219, -181,    0
  7903, 46771,19710220, -157,    0
  7903, 46771,19710221, -209,    0
  7903, 46771,19710222, -288,    0
  7903, 46771,19710223, -300,    0
  7903, 46771,19710224, -236,    0
  7903, 46771,19710225, -250,    0
  7903, 46771,19710226, -310,    0
  7903, 46771,19710227, -310,    0
  7903, 46771,19710228, -284,    0
  7903, 46771,19710301,-9999,    9
  7903, 46771,19710302,-9999,    9
  7903, 46771,19710303,-9999,    9
  7903, 46771,19710304,-9999,    9
  7903, 46771,19710305,-9999,    9
  7903, 46771,19710306,-9999,    9
  7903, 46771,19710307,-9999,    9
  7903, 46771,19710308,-9999,    9
  7903, 46771,19710309,-9999,    9
  7903, 46771,19710310,-9999,    9
  7903, 46771,19710311,-9999,    9
  7903, 46771,19710312,-9999,    9
  7903, 46771,19710313,-9999,    9
  7903, 46771,19710314,-9999,    9
  7903, 46771,19710315,-9999,    9
  7903, 46771,19710316,-9999,    9
  7903, 46771,19710317,-9999,    9
  7903, 46771,19710318,-9999,    9
  7903, 46771,19710319,-9999,    9
  7903, 46771,19710320,-9999,    9
  7903, 46771,19710321,-9999,    9
  7903, 46771,19710322,-9999,    9
  7903, 46771,19710323,-9999,    9
  7903, 46771,19710324,-9999,    9
  7903, 46771,19710325,-9999,    9
  7903, 46771,19710326,-9999,    9
  7903, 46771,19710327,-9999,    9
  7903, 46771,19710328,-9999,    9
  7903, 46771,19710329,-9999,    9
  7903, 46771,19710330,-9999,    9
  7903, 46771,19710331,-9999,    9
  7903, 46771,19710401,-9999,    9
  7903, 46771,19710402,-9999,    9
  7903, 46771,19710403,-9999,    9
  7903, 46771,19710404,-9999,    9
  7903, 46771,19710405,-9999,    9
  7903, 46771,19710406,-9999,    9
  7903, 46771,19710407,-9999,    9
  7903, 46771,19710408,-9999,    9
  7903, 46771,19710409,-9999,    9
  7903, 46771,19710410,-9999,    9
  7903, 46771,19710411,-9999,    9
  7903, 46771,19710412,-9999,    9
  7903, 46771,19710413,-9999,    9
  7903, 46771,19710414,-9999,    9
  7903, 46771,19710415,-9999,    9
  7903, 46771,19710416,-9999,    9
  7903, 46771,19710417,-9999,    9
  7903, 46771,19710418,-9999,    9
  7903, 46771,19710419,-9999,    9
  7903, 46771,19710420,-9999,    9
  7903, 46771,19710421,-9999,    9
  7903, 46771,19710422,-9999,    9
  7903, 46771,19710423,-9999,    9
  7903, 46771,19710424,-9999,    9
  7903, 46771,19710425,-9999,    9
  7903, 46771,19710426,-9999,    9
  7903, 46771,19710427,-9999,    9
  7903, 46771,19710428,-9999,    9
  7903, 46771,19710429,-9999,    9
  7903, 46771,19710430,-9999,    9
  7903, 46771,19710501,-9999,    9
  7903, 46771,19710502,-9999,    9
  7903, 46771,19710503,-9999,    9
  7903, 46771,19710504,-9999,    9
  7903, 46771,19710505,-9999,    9
  7903, 46771,19710506,-9999,    9
  7903, 46771,19710507,-9999,    9
  7903, 46771,19710508,-9999,    9
  7903, 46771,19710509,-9999,    9
  7903, 46771,19710510,-9999,    9
  7903, 46771,19710511,-9999,    9
  7903, 46771,19710512,-9999,    9
  7903, 46771,19710513,-9999,    9
