EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KREIPITZSCH BEI BAD KOSEN, GERMANY (STAID: 4931)
Blended and updated with sources:32264 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4931, 32264,20070401,   92,    0
  4931, 32264,20070402,  104,    0
  4931, 32264,20070403,   57,    0
  4931, 32264,20070404,   47,    0
  4931, 32264,20070405,   56,    0
  4931, 32264,20070406,   91,    0
  4931, 32264,20070407,   72,    0
  4931, 32264,20070408,   58,    0
  4931, 32264,20070409,  108,    0
  4931, 32264,20070410,  108,    0
  4931, 32264,20070411,  104,    0
  4931, 32264,20070412,  117,    0
  4931, 32264,20070413,  145,    0
  4931, 32264,20070414,  157,    0
  4931, 32264,20070415,  149,    0
  4931, 32264,20070416,  154,    0
  4931, 32264,20070417,  136,    0
  4931, 32264,20070418,   75,    0
  4931, 32264,20070419,   90,    0
  4931, 32264,20070420,   73,    0
  4931, 32264,20070421,   58,    0
  4931, 32264,20070422,  103,    0
  4931, 32264,20070423,  143,    0
  4931, 32264,20070424,  137,    0
  4931, 32264,20070425,  158,    0
  4931, 32264,20070426,  161,    0
  4931, 32264,20070427,  173,    0
  4931, 32264,20070428,  174,    0
  4931, 32264,20070429,  110,    0
  4931, 32264,20070430,   99,    0
  4931, 32264,20070501,   88,    0
  4931, 32264,20070502,  108,    0
  4931, 32264,20070503,  134,    0
  4931, 32264,20070504,  146,    0
  4931, 32264,20070505,  154,    0
  4931, 32264,20070506,  153,    0
  4931, 32264,20070507,  132,    0
  4931, 32264,20070508,  110,    0
  4931, 32264,20070509,  112,    0
  4931, 32264,20070510,  142,    0
  4931, 32264,20070511,  148,    0
  4931, 32264,20070512,  125,    0
  4931, 32264,20070513,  161,    0
  4931, 32264,20070514,  156,    0
  4931, 32264,20070515,   99,    0
  4931, 32264,20070516,  102,    0
  4931, 32264,20070517,   84,    0
  4931, 32264,20070518,  111,    0
  4931, 32264,20070519,  165,    0
  4931, 32264,20070520,  193,    0
  4931, 32264,20070521,  222,    0
  4931, 32264,20070522,  204,    0
  4931, 32264,20070523,  178,    0
  4931, 32264,20070524,  204,    0
  4931, 32264,20070525,  218,    0
  4931, 32264,20070526,  207,    0
  4931, 32264,20070527,  169,    0
  4931, 32264,20070528,  138,    0
  4931, 32264,20070529,  122,    0
  4931, 32264,20070530,  118,    0
  4931, 32264,20070531,  139,    0
  4931, 32264,20070601,  161,    0
  4931, 32264,20070602,  156,    0
  4931, 32264,20070603,  144,    0
  4931, 32264,20070604,  161,    0
  4931, 32264,20070605,  167,    0
  4931, 32264,20070606,  185,    0
  4931, 32264,20070607,  220,    0
