EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROCKENDORF, GERMANY (STAID: 4090)
Blended and updated with sources:22172 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4090, 22172,20071201,   62,    0
  4090, 22172,20071202,   71,    0
  4090, 22172,20071203,   60,    0
  4090, 22172,20071204,   44,    0
  4090, 22172,20071205,   70,    0
  4090, 22172,20071206,   82,    0
  4090, 22172,20071207,   88,    0
  4090, 22172,20071208,   44,    0
  4090, 22172,20071209,   53,    0
  4090, 22172,20071210,   49,    0
  4090, 22172,20071211,   38,    0
  4090, 22172,20071212,   31,    0
  4090, 22172,20071213,   21,    0
  4090, 22172,20071214,   -4,    0
  4090, 22172,20071215,   -6,    0
  4090, 22172,20071216,  -24,    0
  4090, 22172,20071217,  -20,    0
  4090, 22172,20071218,  -23,    0
  4090, 22172,20071219,  -38,    0
  4090, 22172,20071220,  -49,    0
  4090, 22172,20071221,  -46,    0
  4090, 22172,20071222,  -35,    0
  4090, 22172,20071223,  -26,    0
  4090, 22172,20071224,   -6,    0
  4090, 22172,20071225,  -35,    0
  4090, 22172,20071226,  -17,    0
  4090, 22172,20071227,  -10,    0
  4090, 22172,20071228,   15,    0
  4090, 22172,20071229,    9,    0
  4090, 22172,20071230,   30,    0
  4090, 22172,20071231,   14,    0
  4090, 22172,20080101,   -4,    0
  4090, 22172,20080102,  -24,    0
  4090, 22172,20080103,  -17,    0
  4090, 22172,20080104,  -18,    0
  4090, 22172,20080105,   20,    0
  4090, 22172,20080106,   33,    0
  4090, 22172,20080107,   35,    0
  4090, 22172,20080108,   37,    0
  4090, 22172,20080109,   37,    0
  4090, 22172,20080110,   47,    0
  4090, 22172,20080111,   65,    0
  4090, 22172,20080112,   47,    0
  4090, 22172,20080113,   24,    0
  4090, 22172,20080114,   29,    0
  4090, 22172,20080115,   51,    0
  4090, 22172,20080116,   60,    0
  4090, 22172,20080117,   51,    0
  4090, 22172,20080118,   63,    0
  4090, 22172,20080119,  109,    0
  4090, 22172,20080120,  108,    0
  4090, 22172,20080121,   91,    0
  4090, 22172,20080122,   37,    0
  4090, 22172,20080123,   28,    0
  4090, 22172,20080124,   55,    0
  4090, 22172,20080125,   33,    0
  4090, 22172,20080126,   55,    0
  4090, 22172,20080127,   61,    0
  4090, 22172,20080128,   69,    0
  4090, 22172,20080129,   47,    0
  4090, 22172,20080130,   23,    0
  4090, 22172,20080131,   16,    0
  4090, 22172,20080201,   37,    0
  4090, 22172,20080202,   20,    0
  4090, 22172,20080203,    2,    0
  4090, 22172,20080204,   31,    0
  4090, 22172,20080205,   45,    0
  4090, 22172,20080206,   72,    0
  4090, 22172,20080207,   28,    0
  4090, 22172,20080208,   36,    0
  4090, 22172,20080209,   22,    0
  4090, 22172,20080210,   29,    0
  4090, 22172,20080211,   27,    0
  4090, 22172,20080212,   19,    0
  4090, 22172,20080213,   19,    0
  4090, 22172,20080214,   -3,    0
  4090, 22172,20080215,   -7,    0
  4090, 22172,20080216,  -40,    0
  4090, 22172,20080217,   -5,    0
  4090, 22172,20080218,   17,    0
  4090, 22172,20080219,   20,    0
  4090, 22172,20080220,   22,    0
  4090, 22172,20080221,   61,    0
  4090, 22172,20080222,   88,    0
  4090, 22172,20080223,   97,    0
  4090, 22172,20080224,  110,    0
  4090, 22172,20080225,   89,    0
  4090, 22172,20080226,  109,    0
  4090, 22172,20080227,   66,    0
  4090, 22172,20080228,   47,    0
  4090, 22172,20080229,   68,    0
  4090, 22172,20080301,   73,    0
  4090, 22172,20080302,   84,    0
  4090, 22172,20080303,   62,    0
  4090, 22172,20080304,   21,    0
  4090, 22172,20080305,    0,    0
  4090, 22172,20080306,   21,    0
  4090, 22172,20080307,   55,    0
  4090, 22172,20080308,   53,    0
  4090, 22172,20080309,   56,    0
  4090, 22172,20080310,   90,    0
  4090, 22172,20080311,   75,    0
  4090, 22172,20080312,   81,    0
  4090, 22172,20080313,   53,    0
  4090, 22172,20080314,   54,    0
  4090, 22172,20080315,   55,    0
  4090, 22172,20080316,   80,    0
  4090, 22172,20080317,   38,    0
  4090, 22172,20080318,    8,    0
  4090, 22172,20080319,   10,    0
  4090, 22172,20080320,   17,    0
  4090, 22172,20080321,   26,    0
  4090, 22172,20080322,   24,    0
  4090, 22172,20080323,  -17,    0
  4090, 22172,20080324,  -13,    0
  4090, 22172,20080325,   -3,    0
  4090, 22172,20080326,   10,    0
  4090, 22172,20080327,   37,    0
  4090, 22172,20080328,   67,    0
  4090, 22172,20080329,   73,    0
  4090, 22172,20080330,  112,    0
  4090, 22172,20080331,  110,    0
  4090, 22172,20080401,  107,    0
  4090, 22172,20080402,   68,    0
  4090, 22172,20080403,   54,    0
  4090, 22172,20080404,   59,    0
  4090, 22172,20080405,   60,    0
  4090, 22172,20080406,   31,    0
  4090, 22172,20080407,   21,    0
  4090, 22172,20080408,   45,    0
  4090, 22172,20080409,   44,    0
  4090, 22172,20080410,   42,    0
  4090, 22172,20080411,   84,    0
  4090, 22172,20080412,   78,    0
  4090, 22172,20080413,   94,    0
  4090, 22172,20080414,   93,    0
  4090, 22172,20080415,   58,    0
  4090, 22172,20080416,   42,    0
  4090, 22172,20080417,   37,    0
  4090, 22172,20080418,   59,    0
  4090, 22172,20080419,   50,    0
  4090, 22172,20080420,   65,    0
  4090, 22172,20080421,   99,    0
  4090, 22172,20080422,   89,    0
  4090, 22172,20080423,   90,    0
  4090, 22172,20080424,  103,    0
  4090, 22172,20080425,   94,    0
  4090, 22172,20080426,  107,    0
