EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RAIMAT, SPAIN (STAID: 11067)
Blended and updated with sources:56463 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11067, 56463,20080101,  -19,    0
 11067, 56463,20080102,-9999,    9
 11067, 56463,20080103,-9999,    9
 11067, 56463,20080104,   22,    0
 11067, 56463,20080105,   43,    0
 11067, 56463,20080106,   73,    0
 11067, 56463,20080107,   73,    0
 11067, 56463,20080108,   77,    0
 11067, 56463,20080109,   86,    0
 11067, 56463,20080110,   93,    0
 11067, 56463,20080111,   98,    0
 11067, 56463,20080112,   66,    0
 11067, 56463,20080113,   39,    0
 11067, 56463,20080114,   60,    0
 11067, 56463,20080115,   50,    0
 11067, 56463,20080116,   77,    0
 11067, 56463,20080117,   83,    0
 11067, 56463,20080118,  113,    0
 11067, 56463,20080119,   70,    0
 11067, 56463,20080120,   56,    0
 11067, 56463,20080121,   48,    0
 11067, 56463,20080122,   68,    0
 11067, 56463,20080123,   68,    0
 11067, 56463,20080124,   80,    0
 11067, 56463,20080125,   77,    0
 11067, 56463,20080126,   40,    0
 11067, 56463,20080127,   23,    0
 11067, 56463,20080128,   27,    0
 11067, 56463,20080129,    7,    0
 11067, 56463,20080130,   14,    0
 11067, 56463,20080131,   24,    0
 11067, 56463,20080201,   42,    0
 11067, 56463,20080202,   46,    0
 11067, 56463,20080203,   69,    0
 11067, 56463,20080204,   82,    0
 11067, 56463,20080205,   47,    0
 11067, 56463,20080206,   59,    0
 11067, 56463,20080207,   64,    0
 11067, 56463,20080208,   71,    0
 11067, 56463,20080209,   72,    0
 11067, 56463,20080210,   62,    0
 11067, 56463,20080211,   71,    0
 11067, 56463,20080212,   69,    0
 11067, 56463,20080213,   56,    0
 11067, 56463,20080214,   86,    0
 11067, 56463,20080215,   67,    0
 11067, 56463,20080216,   70,    0
 11067, 56463,20080217,   80,    0
 11067, 56463,20080218,   78,    0
 11067, 56463,20080219,  100,    0
 11067, 56463,20080220,  115,    0
 11067, 56463,20080221,  110,    0
 11067, 56463,20080222,   89,    0
 11067, 56463,20080223,  106,    0
 11067, 56463,20080224,  110,    0
 11067, 56463,20080225,  112,    0
 11067, 56463,20080226,  119,    0
 11067, 56463,20080227,  117,    0
 11067, 56463,20080228,  127,    0
 11067, 56463,20080229,  130,    0
 11067, 56463,20080301,  107,    0
 11067, 56463,20080302,  107,    0
 11067, 56463,20080303,  114,    0
 11067, 56463,20080304,   68,    0
 11067, 56463,20080305,   39,    0
 11067, 56463,20080306,   54,    0
 11067, 56463,20080307,   74,    0
 11067, 56463,20080308,   77,    0
 11067, 56463,20080309,   73,    0
 11067, 56463,20080310,   63,    0
 11067, 56463,20080311,  136,    0
 11067, 56463,20080312,  143,    0
 11067, 56463,20080313,  117,    0
 11067, 56463,20080314,  135,    0
 11067, 56463,20080315,  146,    0
 11067, 56463,20080316,  128,    0
 11067, 56463,20080317,  110,    0
 11067, 56463,20080318,  112,    0
 11067, 56463,20080319,   89,    0
 11067, 56463,20080320,   73,    0
 11067, 56463,20080321,   83,    0
 11067, 56463,20080322,   96,    0
 11067, 56463,20080323,   58,    0
 11067, 56463,20080324,   88,    0
 11067, 56463,20080325,  119,    0
 11067, 56463,20080326,   89,    0
 11067, 56463,20080327,   76,    0
 11067, 56463,20080328,  145,    0
 11067, 56463,20080329,  127,    0
 11067, 56463,20080330,  125,    0
 11067, 56463,20080331,   99,    0
 11067, 56463,20080401,  121,    0
 11067, 56463,20080402,  143,    0
 11067, 56463,20080403,  140,    0
 11067, 56463,20080404,  119,    0
 11067, 56463,20080405,  129,    0
 11067, 56463,20080406,  134,    0
 11067, 56463,20080407,   87,    0
 11067, 56463,20080408,  132,    0
 11067, 56463,20080409,  156,    0
 11067, 56463,20080410,  149,    0
 11067, 56463,20080411,  101,    0
 11067, 56463,20080412,   99,    0
 11067, 56463,20080413,  110,    0
 11067, 56463,20080414,  103,    0
 11067, 56463,20080415,   98,    0
 11067, 56463,20080416,  131,    0
 11067, 56463,20080417,  115,    0
 11067, 56463,20080418,  118,    0
 11067, 56463,20080419,  119,    0
 11067, 56463,20080420,  111,    0
 11067, 56463,20080421,  114,    0
 11067, 56463,20080422,  132,    0
 11067, 56463,20080423,  161,    0
 11067, 56463,20080424,  170,    0
 11067, 56463,20080425,  163,    0
 11067, 56463,20080426,  187,    0
 11067, 56463,20080427,  186,    0
 11067, 56463,20080428,  153,    0
 11067, 56463,20080429,  133,    0
 11067, 56463,20080430,  134,    0
 11067, 56463,20080501,  152,    0
 11067, 56463,20080502,  176,    0
 11067, 56463,20080503,  193,    0
 11067, 56463,20080504,  200,    0
 11067, 56463,20080505,  200,    0
 11067, 56463,20080506,  190,    0
 11067, 56463,20080507,  183,    0
 11067, 56463,20080508,  173,    0
 11067, 56463,20080509,  138,    0
 11067, 56463,20080510,  121,    0
 11067, 56463,20080511,  137,    0
 11067, 56463,20080512,  141,    0
 11067, 56463,20080513,  164,    0
 11067, 56463,20080514,  145,    0
 11067, 56463,20080515,  174,    0
 11067, 56463,20080516,  162,    0
 11067, 56463,20080517,  152,    0
 11067, 56463,20080518,  149,    0
 11067, 56463,20080519,  137,    0
 11067, 56463,20080520,  156,    0
 11067, 56463,20080521,  169,    0
 11067, 56463,20080522,  186,    0
 11067, 56463,20080523,  182,    0
 11067, 56463,20080524,  174,    0
 11067, 56463,20080525,  144,    0
 11067, 56463,20080526,  155,    0
 11067, 56463,20080527,  137,    0
 11067, 56463,20080528,  158,    0
 11067, 56463,20080529,  174,    0
 11067, 56463,20080530,  182,    0
 11067, 56463,20080531,  166,    0
 11067, 56463,20080601,  162,    0
 11067, 56463,20080602,  162,    0
 11067, 56463,20080603,  170,    0
 11067, 56463,20080604,  171,    0
 11067, 56463,20080605,  165,    0
 11067, 56463,20080606,  167,    0
 11067, 56463,20080607,  156,    0
 11067, 56463,20080608,  163,    0
 11067, 56463,20080609,  170,    0
 11067, 56463,20080610,  169,    0
 11067, 56463,20080611,  179,    0
 11067, 56463,20080612,  201,    0
 11067, 56463,20080613,  193,    0
 11067, 56463,20080614,  190,    0
 11067, 56463,20080615,  194,    0
 11067, 56463,20080616,  192,    0
 11067, 56463,20080617,  185,    0
 11067, 56463,20080618,  193,    0
 11067, 56463,20080619,  239,    0
 11067, 56463,20080620,  251,    0
 11067, 56463,20080621,  263,    0
 11067, 56463,20080622,  259,    0
 11067, 56463,20080623,  254,    0
 11067, 56463,20080624,  242,    0
 11067, 56463,20080625,  247,    0
 11067, 56463,20080626,  258,    0
 11067, 56463,20080627,  230,    0
 11067, 56463,20080628,  231,    0
 11067, 56463,20080629,  259,    0
 11067, 56463,20080630,  243,    0
 11067, 56463,20080701,  255,    0
 11067, 56463,20080702,  252,    0
 11067, 56463,20080703,  217,    0
 11067, 56463,20080704,  218,    0
 11067, 56463,20080705,  263,    0
 11067, 56463,20080706,  242,    0
 11067, 56463,20080707,  208,    0
 11067, 56463,20080708,  212,    0
 11067, 56463,20080709,  240,    0
 11067, 56463,20080710,  257,    0
 11067, 56463,20080711,  254,    0
 11067, 56463,20080712,  194,    0
 11067, 56463,20080713,  181,    0
 11067, 56463,20080714,  193,    0
 11067, 56463,20080715,  222,    0
 11067, 56463,20080716,  221,    0
 11067, 56463,20080717,  226,    0
 11067, 56463,20080718,  225,    0
 11067, 56463,20080719,  258,    0
 11067, 56463,20080720,  263,    0
 11067, 56463,20080721,  221,    0
 11067, 56463,20080722,  205,    0
 11067, 56463,20080723,  240,    0
 11067, 56463,20080724,  249,    0
 11067, 56463,20080725,  253,    0
 11067, 56463,20080726,  260,    0
 11067, 56463,20080727,  262,    0
 11067, 56463,20080728,  260,    0
 11067, 56463,20080729,  239,    0
 11067, 56463,20080730,  265,    0
 11067, 56463,20080731,  277,    0
 11067, 56463,20080801,  262,    0
 11067, 56463,20080802,  244,    0
 11067, 56463,20080803,  258,    0
 11067, 56463,20080804,  279,    0
 11067, 56463,20080805,  267,    0
 11067, 56463,20080806,  263,    0
 11067, 56463,20080807,  253,    0
 11067, 56463,20080808,  222,    0
 11067, 56463,20080809,  208,    0
 11067, 56463,20080810,  245,    0
 11067, 56463,20080811,  258,    0
 11067, 56463,20080812,  258,    0
 11067, 56463,20080813,  210,    0
 11067, 56463,20080814,  210,    0
 11067, 56463,20080815,  181,    0
 11067, 56463,20080816,  180,    0
 11067, 56463,20080817,  225,    0
 11067, 56463,20080818,  244,    0
 11067, 56463,20080819,  245,    0
 11067, 56463,20080820,  211,    0
 11067, 56463,20080821,  233,    0
 11067, 56463,20080822,  235,    0
 11067, 56463,20080823,  193,    0
 11067, 56463,20080824,  214,    0
 11067, 56463,20080825,  233,    0
 11067, 56463,20080826,  235,    0
 11067, 56463,20080827,  236,    0
 11067, 56463,20080828,  231,    0
 11067, 56463,20080829,  243,    0
 11067, 56463,20080830,  241,    0
 11067, 56463,20080831,  238,    0
 11067, 56463,20080901,  231,    0
 11067, 56463,20080902,  237,    0
 11067, 56463,20080903,  249,    0
 11067, 56463,20080904,  235,    0
 11067, 56463,20080905,  231,    0
 11067, 56463,20080906,  173,    0
 11067, 56463,20080907,  173,    0
 11067, 56463,20080908,  216,    0
 11067, 56463,20080909,  222,    0
 11067, 56463,20080910,  229,    0
 11067, 56463,20080911,  230,    0
 11067, 56463,20080912,  164,    0
 11067, 56463,20080913,  155,    0
 11067, 56463,20080914,  166,    0
 11067, 56463,20080915,  161,    0
 11067, 56463,20080916,  164,    0
 11067, 56463,20080917,  209,    0
 11067, 56463,20080918,  212,    0
 11067, 56463,20080919,  208,    0
