EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KANKAANPAA NIINISALO LENTOKENTTA, FINLAND (STAID: 7263)
Blended and updated with sources:43379 43479 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7263, 43379,19590101,  -12,    0
  7263, 43379,19590102,  -27,    0
  7263, 43379,19590103,  -12,    0
  7263, 43379,19590104,    1,    0
  7263, 43379,19590105,  -23,    0
  7263, 43379,19590106,  -43,    0
  7263, 43379,19590107,  -47,    0
  7263, 43379,19590108,  -66,    0
  7263, 43379,19590109,  -58,    1
  7263, 43379,19590110,  -24,    0
  7263, 43379,19590111,  -19,    0
  7263, 43379,19590112,  -48,    0
  7263, 43379,19590113,  -60,    0
  7263, 43379,19590114,  -79,    0
  7263, 43379,19590115, -128,    0
  7263, 43379,19590116, -163,    0
  7263, 43379,19590117, -177,    0
  7263, 43379,19590118, -179,    0
  7263, 43379,19590119, -175,    0
  7263, 43379,19590120, -149,    0
  7263, 43379,19590121, -122,    0
  7263, 43379,19590122, -121,    0
  7263, 43379,19590123,  -73,    0
  7263, 43379,19590124,  -47,    0
  7263, 43379,19590125, -117,    0
  7263, 43379,19590126, -102,    0
  7263, 43379,19590127,  -19,    0
  7263, 43379,19590128,  -10,    0
  7263, 43379,19590129,  -19,    0
  7263, 43379,19590130,  -26,    0
  7263, 43379,19590131,  -53,    0
  7263, 43379,19590201,  -81,    0
  7263, 43379,19590202,  -50,    0
  7263, 43379,19590203,  -25,    0
  7263, 43379,19590204,   12,    0
  7263, 43379,19590205,   11,    0
  7263, 43379,19590206,  -16,    0
  7263, 43379,19590207,  -22,    0
  7263, 43379,19590208,  -37,    0
  7263, 43379,19590209,  -45,    0
  7263, 43379,19590210,  -65,    0
  7263, 43379,19590211,  -57,    0
  7263, 43379,19590212,  -58,    0
  7263, 43379,19590213,  -48,    0
  7263, 43379,19590214,  -45,    0
  7263, 43379,19590215,  -35,    0
  7263, 43379,19590216,  -19,    0
  7263, 43379,19590217,   10,    0
  7263, 43379,19590218,   18,    0
  7263, 43379,19590219,    3,    0
  7263, 43379,19590220,  -14,    0
  7263, 43379,19590221,  -46,    0
  7263, 43379,19590222,  -68,    0
  7263, 43379,19590223,  -57,    0
  7263, 43379,19590224,  -19,    0
  7263, 43379,19590225,  -12,    0
  7263, 43379,19590226,   12,    0
  7263, 43379,19590227,   18,    0
  7263, 43379,19590228,   13,    0
  7263, 43379,19590301,    3,    0
  7263, 43379,19590302,   16,    0
  7263, 43379,19590303,   11,    0
  7263, 43379,19590304,    7,    0
  7263, 43379,19590305,   11,    0
  7263, 43379,19590306,    5,    0
  7263, 43379,19590307,   15,    0
  7263, 43379,19590308,  -14,    0
  7263, 43379,19590309,  -25,    0
  7263, 43379,19590310,  -18,    0
  7263, 43379,19590311,   -3,    0
  7263, 43379,19590312,   -7,    0
  7263, 43379,19590313,  -11,    0
  7263, 43379,19590314,  -19,    0
  7263, 43379,19590315,  -33,    0
  7263, 43379,19590316,   -8,    0
  7263, 43379,19590317,   -2,    0
  7263, 43379,19590318,   16,    0
  7263, 43379,19590319,    9,    0
  7263, 43379,19590320,   -6,    0
  7263, 43379,19590321,    4,    0
  7263, 43379,19590322,   11,    0
  7263, 43379,19590323,    5,    0
  7263, 43379,19590324,   12,    0
  7263, 43379,19590325,   15,    0
  7263, 43379,19590326,   27,    0
  7263, 43379,19590327,   18,    0
  7263, 43379,19590328,  -27,    0
  7263, 43379,19590329,  -21,    0
  7263, 43379,19590330,  -31,    0
  7263, 43379,19590331,  -19,    0
  7263, 43379,19590401,   -6,    0
  7263, 43379,19590402,    9,    0
  7263, 43379,19590403,   19,    0
  7263, 43379,19590404,   23,    0
  7263, 43379,19590405,   25,    0
  7263, 43379,19590406,   39,    0
  7263, 43379,19590407,   25,    0
  7263, 43379,19590408,  -11,    0
  7263, 43379,19590409,  -35,    0
  7263, 43379,19590410,   -8,    0
  7263, 43379,19590411,  -22,    0
  7263, 43379,19590412,    5,    0
  7263, 43379,19590413,   10,    0
  7263, 43379,19590414,   31,    0
  7263, 43379,19590415,   92,    0
  7263, 43379,19590416,  101,    0
  7263, 43379,19590417,   77,    0
  7263, 43379,19590418,   15,    0
  7263, 43379,19590419,   -8,    0
  7263, 43379,19590420,   -3,    0
  7263, 43379,19590421,   -8,    0
  7263, 43379,19590422,   -8,    0
  7263, 43379,19590423,    0,    0
  7263, 43379,19590424,   42,    0
