EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NARVIK SENTRUM, NORWAY (STAID: 18203)
Blended and updated with sources:33940 57134 99398 99742 100805 901193 901194 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18203, 57134,19530101,-9999,    9
 18203, 57134,19530102,-9999,    9
 18203, 57134,19530103,-9999,    9
 18203, 57134,19530104,-9999,    9
 18203, 57134,19530105,-9999,    9
 18203, 57134,19530106,-9999,    9
 18203, 57134,19530107,-9999,    9
 18203, 57134,19530108,-9999,    9
 18203, 57134,19530109,-9999,    9
 18203, 57134,19530110,-9999,    9
 18203, 57134,19530111,-9999,    9
 18203, 57134,19530112,-9999,    9
 18203, 57134,19530113,-9999,    9
 18203, 57134,19530114,-9999,    9
 18203, 57134,19530115,-9999,    9
 18203, 57134,19530116,-9999,    9
 18203, 57134,19530117,-9999,    9
 18203, 57134,19530118,-9999,    9
 18203, 57134,19530119,-9999,    9
 18203, 57134,19530120,-9999,    9
 18203, 57134,19530121,-9999,    9
 18203, 57134,19530122,-9999,    9
 18203, 57134,19530123,-9999,    9
 18203, 57134,19530124,-9999,    9
 18203, 57134,19530125,-9999,    9
 18203, 57134,19530126,-9999,    9
 18203, 57134,19530127,-9999,    9
 18203, 57134,19530128,-9999,    9
 18203, 57134,19530129,-9999,    9
 18203, 57134,19530130,-9999,    9
 18203, 57134,19530131,-9999,    9
 18203, 57134,19530201,-9999,    9
 18203, 57134,19530202,-9999,    9
 18203, 57134,19530203,-9999,    9
 18203, 57134,19530204,-9999,    9
 18203, 57134,19530205,-9999,    9
 18203, 57134,19530206,-9999,    9
 18203, 57134,19530207,-9999,    9
 18203, 57134,19530208,-9999,    9
 18203, 57134,19530209,-9999,    9
 18203, 57134,19530210,-9999,    9
 18203, 57134,19530211,-9999,    9
 18203, 57134,19530212,-9999,    9
 18203, 57134,19530213,-9999,    9
 18203, 57134,19530214,-9999,    9
 18203, 57134,19530215,-9999,    9
 18203, 57134,19530216,-9999,    9
 18203, 57134,19530217,-9999,    9
 18203, 57134,19530218,-9999,    9
 18203, 57134,19530219,-9999,    9
 18203, 57134,19530220,-9999,    9
 18203, 57134,19530221,-9999,    9
 18203, 57134,19530222,-9999,    9
 18203, 57134,19530223,-9999,    9
 18203, 57134,19530224,-9999,    9
 18203, 57134,19530225,-9999,    9
 18203, 57134,19530226,-9999,    9
 18203, 57134,19530227,-9999,    9
 18203, 57134,19530228,-9999,    9
 18203, 57134,19530301,-9999,    9
 18203, 57134,19530302,-9999,    9
 18203, 57134,19530303,-9999,    9
 18203, 57134,19530304,-9999,    9
 18203, 57134,19530305,-9999,    9
 18203, 57134,19530306,-9999,    9
 18203, 57134,19530307,-9999,    9
 18203, 57134,19530308,-9999,    9
 18203, 57134,19530309,-9999,    9
 18203, 57134,19530310,-9999,    9
 18203, 57134,19530311,-9999,    9
 18203, 57134,19530312,-9999,    9
 18203, 57134,19530313,-9999,    9
 18203, 57134,19530314,-9999,    9
 18203, 57134,19530315,-9999,    9
 18203, 57134,19530316,-9999,    9
 18203, 57134,19530317,-9999,    9
 18203, 57134,19530318,-9999,    9
 18203, 57134,19530319,-9999,    9
 18203, 57134,19530320,-9999,    9
 18203, 57134,19530321,-9999,    9
 18203, 57134,19530322,-9999,    9
 18203, 57134,19530323,-9999,    9
 18203, 57134,19530324,-9999,    9
 18203, 57134,19530325,-9999,    9
 18203, 57134,19530326,-9999,    9
 18203, 57134,19530327,-9999,    9
 18203, 57134,19530328,-9999,    9
 18203, 57134,19530329,-9999,    9
 18203, 57134,19530330,-9999,    9
 18203, 57134,19530331,-9999,    9
 18203, 57134,19530401,-9999,    9
 18203, 57134,19530402,-9999,    9
 18203, 57134,19530403,-9999,    9
 18203, 57134,19530404,-9999,    9
 18203, 57134,19530405,-9999,    9
 18203, 57134,19530406,-9999,    9
 18203, 57134,19530407,-9999,    9
 18203, 57134,19530408,-9999,    9
 18203, 57134,19530409,-9999,    9
 18203, 57134,19530410,-9999,    9
 18203, 57134,19530411,-9999,    9
 18203, 57134,19530412,-9999,    9
 18203, 57134,19530413,-9999,    9
 18203, 57134,19530414,-9999,    9
 18203, 57134,19530415,-9999,    9
 18203, 57134,19530416,-9999,    9
 18203, 57134,19530417,-9999,    9
 18203, 57134,19530418,-9999,    9
 18203, 57134,19530419,-9999,    9
 18203, 57134,19530420,-9999,    9
 18203, 57134,19530421,-9999,    9
 18203, 57134,19530422,-9999,    9
 18203, 57134,19530423,-9999,    9
 18203, 57134,19530424,-9999,    9
 18203, 57134,19530425,-9999,    9
 18203, 57134,19530426,-9999,    9
 18203, 57134,19530427,-9999,    9
 18203, 57134,19530428,-9999,    9
 18203, 57134,19530429,-9999,    9
 18203, 57134,19530430,-9999,    9
 18203, 57134,19530501,-9999,    9
 18203, 57134,19530502,-9999,    9
 18203, 57134,19530503,-9999,    9
 18203, 57134,19530504,-9999,    9
 18203, 57134,19530505,-9999,    9
 18203, 57134,19530506,-9999,    9
 18203, 57134,19530507,-9999,    9
 18203, 57134,19530508,-9999,    9
 18203, 57134,19530509,-9999,    9
 18203, 57134,19530510,-9999,    9
 18203, 57134,19530511,-9999,    9
 18203, 57134,19530512,-9999,    9
 18203, 57134,19530513,-9999,    9
 18203, 57134,19530514,-9999,    9
 18203, 57134,19530515,-9999,    9
 18203, 57134,19530516,-9999,    9
 18203, 57134,19530517,-9999,    9
 18203, 57134,19530518,-9999,    9
 18203, 57134,19530519,-9999,    9
 18203, 57134,19530520,-9999,    9
 18203, 57134,19530521,-9999,    9
 18203, 57134,19530522,-9999,    9
 18203, 57134,19530523,-9999,    9
 18203, 57134,19530524,-9999,    9
 18203, 57134,19530525,-9999,    9
 18203, 57134,19530526,-9999,    9
 18203, 57134,19530527,-9999,    9
 18203, 57134,19530528,-9999,    9
 18203, 57134,19530529,-9999,    9
 18203, 57134,19530530,-9999,    9
 18203, 57134,19530531,-9999,    9
 18203, 57134,19530601,-9999,    9
 18203, 57134,19530602,-9999,    9
 18203, 57134,19530603,-9999,    9
 18203, 57134,19530604,-9999,    9
 18203, 57134,19530605,-9999,    9
