EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FILEFJELL - KYRKJESTOLANE, NORWAY (STAID: 5094)
Blended and updated with sources:34228 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5094, 34228,19670101,-9999,    9
  5094, 34228,19670102,-9999,    9
  5094, 34228,19670103,-9999,    9
  5094, 34228,19670104,-9999,    9
  5094, 34228,19670105,-9999,    9
  5094, 34228,19670106,-9999,    9
  5094, 34228,19670107,-9999,    9
  5094, 34228,19670108,-9999,    9
  5094, 34228,19670109,-9999,    9
  5094, 34228,19670110,-9999,    9
  5094, 34228,19670111,-9999,    9
  5094, 34228,19670112,-9999,    9
  5094, 34228,19670113,-9999,    9
  5094, 34228,19670114,-9999,    9
  5094, 34228,19670115,-9999,    9
  5094, 34228,19670116,-9999,    9
  5094, 34228,19670117,-9999,    9
  5094, 34228,19670118,-9999,    9
  5094, 34228,19670119,-9999,    9
  5094, 34228,19670120,-9999,    9
  5094, 34228,19670121,-9999,    9
  5094, 34228,19670122,-9999,    9
  5094, 34228,19670123,-9999,    9
  5094, 34228,19670124,-9999,    9
  5094, 34228,19670125,-9999,    9
  5094, 34228,19670126,-9999,    9
  5094, 34228,19670127,-9999,    9
  5094, 34228,19670128,-9999,    9
  5094, 34228,19670129,-9999,    9
  5094, 34228,19670130,-9999,    9
  5094, 34228,19670131,-9999,    9
  5094, 34228,19670201,-9999,    9
  5094, 34228,19670202,-9999,    9
  5094, 34228,19670203,-9999,    9
  5094, 34228,19670204,-9999,    9
  5094, 34228,19670205,-9999,    9
  5094, 34228,19670206,-9999,    9
  5094, 34228,19670207,-9999,    9
  5094, 34228,19670208,-9999,    9
  5094, 34228,19670209,-9999,    9
  5094, 34228,19670210,-9999,    9
  5094, 34228,19670211,-9999,    9
  5094, 34228,19670212,-9999,    9
  5094, 34228,19670213,-9999,    9
  5094, 34228,19670214,-9999,    9
  5094, 34228,19670215,-9999,    9
  5094, 34228,19670216,-9999,    9
  5094, 34228,19670217,-9999,    9
  5094, 34228,19670218,-9999,    9
  5094, 34228,19670219,-9999,    9
  5094, 34228,19670220,-9999,    9
  5094, 34228,19670221,-9999,    9
  5094, 34228,19670222,-9999,    9
  5094, 34228,19670223,-9999,    9
  5094, 34228,19670224,-9999,    9
  5094, 34228,19670225,-9999,    9
  5094, 34228,19670226,-9999,    9
  5094, 34228,19670227,-9999,    9
  5094, 34228,19670228,-9999,    9
  5094, 34228,19670301,-9999,    9
  5094, 34228,19670302,-9999,    9
  5094, 34228,19670303,-9999,    9
  5094, 34228,19670304,-9999,    9
  5094, 34228,19670305,-9999,    9
  5094, 34228,19670306,-9999,    9
  5094, 34228,19670307,-9999,    9
  5094, 34228,19670308,-9999,    9
  5094, 34228,19670309,-9999,    9
  5094, 34228,19670310,-9999,    9
  5094, 34228,19670311,-9999,    9
  5094, 34228,19670312,-9999,    9
  5094, 34228,19670313,-9999,    9
  5094, 34228,19670314,-9999,    9
  5094, 34228,19670315,-9999,    9
  5094, 34228,19670316,-9999,    9
  5094, 34228,19670317,-9999,    9
  5094, 34228,19670318,-9999,    9
  5094, 34228,19670319,-9999,    9
  5094, 34228,19670320,-9999,    9
  5094, 34228,19670321,-9999,    9
  5094, 34228,19670322,-9999,    9
  5094, 34228,19670323,-9999,    9
  5094, 34228,19670324,-9999,    9
  5094, 34228,19670325,-9999,    9
  5094, 34228,19670326,-9999,    9
  5094, 34228,19670327,-9999,    9
  5094, 34228,19670328,-9999,    9
  5094, 34228,19670329,-9999,    9
  5094, 34228,19670330,-9999,    9
  5094, 34228,19670331,-9999,    9
  5094, 34228,19670401,-9999,    9
  5094, 34228,19670402,-9999,    9
  5094, 34228,19670403,-9999,    9
  5094, 34228,19670404,-9999,    9
  5094, 34228,19670405,-9999,    9
  5094, 34228,19670406,-9999,    9
  5094, 34228,19670407,-9999,    9
  5094, 34228,19670408,-9999,    9
  5094, 34228,19670409,-9999,    9
  5094, 34228,19670410,-9999,    9
  5094, 34228,19670411,-9999,    9
  5094, 34228,19670412,-9999,    9
  5094, 34228,19670413,-9999,    9
  5094, 34228,19670414,-9999,    9
  5094, 34228,19670415,-9999,    9
  5094, 34228,19670416,-9999,    9
  5094, 34228,19670417,-9999,    9
  5094, 34228,19670418,-9999,    9
  5094, 34228,19670419,-9999,    9
  5094, 34228,19670420,-9999,    9
  5094, 34228,19670421,-9999,    9
  5094, 34228,19670422,-9999,    9
  5094, 34228,19670423,-9999,    9
  5094, 34228,19670424,-9999,    9
